Document Title,Author Keywords,Abstract,Publication Year,Authors,Start Page,End Page,Pages count,Article Citation Count,DOI,Link,Document Identifier,Publisher
Bilingual Segmenter for Statistical Machine Translation,bilingual segmenter;machine translation;conditional random fields;word alignment;phrase-based decoder,"We propose a bilingually-motivated segmenting framework for Chinese which has no clear delimiter for word boundaries. It involves producing Chinese tokens in line with word-based languages¿ words using a bilingual segmenting algorithm, provided with bitexts, and deriving a probabilistic tokenizing model based on previously annotated Chinese sentences. In the bilingual segmenting algorithm, we first convert the search for segmentation into a sequential tagging problem, allowing for a polynomial-time dynamic programming solution, and incorporate a control to balance mono- and bi-lingual information in tailoring Chinese sentences. Experiments show that our framework, applied as a pre-tokenization component, significantly outperforms existing segmenters in translation quality, suggesting our methodology supports better segmentation for bilingual NLP applications involving isolated languages such as Chinese.",2008,H. Gonçalves; J. A. Gonçalves; L. Corte-Real,97,104,8,,10.1109/ISUC.2008.10,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4724447,IEEE Conferences,IEEE
Combining Modern Machine Translation Software with LSI for Cross-Lingual Information Processing,cross-lingual;latent semantic indexing;machine translation;multilingual;parallel corpora,"The growing internationalization of business and social interactions poses significant challenges in implementing multilingual information systems. For applications requiring retrieval, clustering, and categorization of multilingual document collections, cross-lingual application of latent semantic indexing (LSI) has a number of characteristics that make it potentially attractive. However, this technique is dependent upon the availability of applicable parallel corpora. Historically, such corpora have been quite limited in size and scope. In this paper, we provide new results regarding implementation of cross-lingual LSI text processing systems employing parallel corpora produced using modern machine translation (MT) products. We present measurements using the Reuters 21578 test set to demonstrate three key points regarding this combined LSI/modern MT approach: (1) for some languages, this approach can create parallel corpora of sufficient fidelity to support effective multilingual and cross-lingual LSI applications, (2) the technique is not particularly sensitive to details of LSI parameters, and (3) multiple languages can be represented in a single LSI space with little degradation in performance.",2014,H. H. O. Nasereddin; A. A. R. Omari,65,72,8,2,10.1109/ITNG.2014.52,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6822177,IEEE Conferences,IEEE
Computational Linguistic Models and Language Technologies for Croatian,computational linguistics;natural language processing;Croatian language;corpus linguistics;POS/MSD tagging;lemmatization;parsing;WordNet;machine translation;machine aided translation;computer assisted language learning;automatic document indexing;document classification;document summarization,"This paper gives an overview of the scientific program ""Computational linguistic models and language technologies for Croatian "" that has been launched recently. Its short and long term goals, its composition as well as methodology and expected results are presented.",2007,H. Li; J. Sha; C. Shi,521,528,8,,10.1109/ITI.2007.4283826,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4283826,IEEE Conferences,IEEE
Combining Discrete Lexicon Probabilities with NMT for Low-Resource Mongolian-Chinese Translation,Mongolian Chinese Neural Machine Translation;Statistical Machine Translation;Discrete Lexicon Probabilities;Low-resource.,"Mongolian-Chinese neural machine translation (NMT) models often make mistakes in translating low-frequency words. We propose a method to alleviate this problem by improve NMT models with discrete translation lexicons that efficiently encode these low-frequency words. We describe a method to calcu-late the lexicon probability of generating the next word in the translation candi-date by using the attention vector of the NMT model to select which source word lexical probabilities the model should focus on. The method use this probabil-ity as a bias to combine with the stand-ard NMT probability. Experiments show an improvement of 4.02 BLEU score. We apply this method to large-scale corpus and improve the BLEU score. In addition, we also propose a novel approach to combine discrete probabilistic lexicons obtained from large-scale Mongolian - Chinese bilin-gual parallel corpus into NMT of small-scale corpus and enhance the perfor-mance of the system effectively.",2017,H. Liu; M. Li; J. Zhang; L. Chen,104,111,8,,10.1109/PDCAT.2017.00026,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8327074,IEEE Conferences,IEEE
BRAPT: A New Metric for Translation Evaluation Based on Psycholinguistic Perspectives,Automatic Text Translation;Text mining;BLEU;BRAPT,"There are some metrics to evaluate automatic text translations in the literature. However, the state-of-the-art of these metrics still has limitations. One of them is the dependence of an exact and ordered pairing of words for evaluating similarity among texts. Another, is the non-consideration of the semantics of the text in such comparison. Previous studies point out the need to analyze the semantics of words in the evaluation of translations. In this scenario, this paper presents a novel metric capable of evaluating the differences in automatic text translations that takes into account the semantics of the words presented in the texts. As a proof of concept, we selected ten journalistic texts written in English. These texts have been translated to Portuguese by specialists and by automatic text translation tools. Experimental results show the potential of the proposed metric in evaluating these translations, indicating it can perform better than the state-of-the-art metric.",2020,H. Su; C. Wu,1264,1271,8,,10.1109/TLA.2020.9099768,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9099768,IEEE Journals,IEEE
Transzaar: Empowers Human Translators,Machine Translation;Pre-editing;Post-editing;Text analysis;Translation Memory;CAT Tool;Concordance,"In this paper, we describe Transzaar - an AI powered tool that offers computer aided translation (CAT) functionality: pre-translation analysis, post-editing machine translated content, translation prediction, text aligning, extensive logging and integration with several machine translation (MT) systems. Transzaar aids a human translator to perform various language processing tasks, viz., Translation, Transliteration, Localization, and other kinds of Text Analysis tasks. Using Transzaar, human translators can post-edit the machine translated content, to improve fluency and accuracy of the translated content to match the naturalness of human translation while delivering with better turn-around time. Transzaar aids the process of post-editing, thereby increasing the productivity of human translators by 2-3 folds within couple of months of usage for certain language pairs. It collects feedback continuously, which helps the MT system to further learn and improve periodically, with the additional new generated data-set.",2018,H. Yeo,1,8,8,,10.1109/ICCSA.2018.8439292,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8439292,IEEE Conferences,IEEE
Automatic registration of images with simulated rotation and translation estimation using HAIRIS,Histogram;Image registration;Automatic Image registration;image segmentation;matching;wiener filter;second-order Butterworth LPF,"Image registration is the most important fundamental phenomenon in the image processing system. In which Automatic image registration is a challenging aspect. Although enormous methods for automatic image registration have been developed and implemented in ancient days, it is still a broad use in plenty applications, such as in remote sensing. In my work, I have proposed a method for automatic image registration through histogram-based image segmentation (HAIRIS). This new approach is designed by combining several segmentations of the pair of images to be registered, according to a relaxation parameter based on the delineating histogram modes, following the characterization of the objects extracted - via the objects area, axis ratio, perimeter and fractal dimension - and a statistical procedure for objects matching is applied to each object. Finally, the simulated rotation and translation are illustrated for this proposed methodology. The first and foremost dataset consists of a photograph and a rotated and shifted version of this photograph is developed, with different levels of added Gaussian white noise. This can also be applied to satellite images which are in pair, with different spectral content and simulated translation and rotation is estimated, and also for various remote sensing applications comprising of different viewing angles, different acquisition dates and different sensors. Histogram-based image segmentation allows the registration of pairs of multitemporal and multisensor images with their differences in rotation and translation parameters, with small spectral content differences whereas, leading to sub pixel accuracy.",2013,Hasi; Nasun-Urt,1,8,8,,10.1109/ICCCNT.2013.6726537,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6726537,IEEE Conferences,IEEE
A novel Chinese-English on translation method using mix-language web pages,Chinese organization names translation;named entity translation;web assistant translation method;machine translation,"In this paper, we propose a novel Chinese-English organization name translation method with the assistance of mix-language web resources. Firstly, all the implicit out-of-vocabulary terms in the input Chinese organization name are recognized by a CRFs model. Then the input Chinese organization name is translated without considering these recognized out-of-vocabulary terms. Secondly, we construct some efficient queries to find the mix-language web pages that contain both the original input organization name and its correct translation. At last, a similarity matching and limited expansion based translation identification approach is proposed to identify the correct translation from the returned web pages. Experimental results show that our method is effective for Chinese organization name translation and can improve performance of Chinese organization name translation significantly.",2010,I. Hmeidi; A. Al-Aiad; S. Al-Momani; M. Ibnian,1,8,8,,10.1109/NLPKE.2010.5587832,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5587832,IEEE Conferences,IEEE
Automatic exploitation of multilingual information for military intelligence purposes,Statistical machine translation;natural language processing;open source intelligence;military intelligence,"Intelligence plays an important role in supporting military operations. In the course of military intelligence a vast amount of textual data in different languages needs to be analyzed. In addition to information provided by traditional military intelligence, nowadays the internet offers important resources of potential militarily relevant information. However, we are not able to manually handle this vast amount of data. The science of natural language processing (NLP) provides technology to efficiently handle this task, in particular by means of machine translation and text mining. In our research project ISAF-MT we created a statistical machine translation (SMT) system for Dari to German. In this paper we describe how NLP technologies and in particular SMT can be applied to different intelligence processes. We therefore argue that multilingual NLP technology can strongly support military operations.",2012,I. Lyu; S. H. Kim; N. D. Woodward; M. A. Styner; B. A. Landman,1,8,8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6387890,IEEE Conferences,IEEE
Web-based technical term translation pairs mining for patent document translation,Term translation;patent document translation;web-based;key word extraction;key word selection;machine translation,"This paper proposes a simple but powerful approach for obtaining technical term translation pairs in patent domain from Web automatically. First, several technical terms are used as seed queries and submitted to search engineering. Secondly, an extraction algorithm is proposed to extract some key word translation pairs from the returned web pages. Finally, a multi-feature based evaluation method is proposed to pick up those translation pairs that are true technical term translation pairs in patent domain. With this method, we obtain about 8,890,000 key word translation pairs which can be used to translate the technical terms in patent documents. And experimental results show that the precision of these translation pairs are more than 99%, and the coverage of these translation pairs for the technical terms in patent documents are more than 84%.",2010,I. S. M. Dissanayake; P. J. Wickramanayake; M. A. S. Mudunkotuwa; P. W. N. Fernando,1,8,8,1,10.1109/NLPKE.2010.5587775,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5587775,IEEE Conferences,IEEE
Automatic Stopword Detection Using Term Ranking between Written and Machine Speech Recognition Transcribed Reviews,Term Ranking;TFIDF;Machine Speech Recognition (MSR);stop words;marketing;reviews.,"Video feedback and machine speech recognition are fast-becoming a popular choice for companies to gain insight into their products. In conjunction with this, text analytics can be used to extract insight from these video translations. Currently, there is little work in the area to analyse and compare techniques for natural language processing, information retrieval and information extraction. A commonly practiced technique in text analytics is the extraction of stop words; words whose presence do not contribute context or information to a document. In this paper, we explore statistical techniques for the automated extraction of stop words, comparing 4 datasets from written and translated reviews. Using statistical variations of the successful technique `term ranking', we evaluate their performance using a common list of stop words. Results suggest that variation, TFnormIDFnorm, was the most successful with a best performing precision rate of 46.7% and a recall rate of 86.6%. The best results were seen in the largest dataset using written reviews, however comparison of the remaining 3 datasets revealed that spoken text performed 0.4% better in precision than the next best dataset and 2.6% better in recall. Initial results show marginally better performance in machine speech recognition transcribed texts from videos in comparison to comparably size datasets of written reviews.",2019,J. Frattini; M. Junker; M. Unterkalmsteiner; D. Mendez,301,308,8,,10.1109/DeSE.2019.00063,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073508,IEEE Conferences,IEEE
A Tool for Translating Sequential Source Code to Parallel Code Written in C++ and OpenACC,Sequential Code Translation;Parallel code;OpenACC;C++;Automatic code translation,"In this paper, we introduce a translation tool that translates any sequential C++ source code into parallel source code written in C++ and OpenACC programming model. The tool generates different types of dependency graphs: class, method, loop, and block-of-statements graphs. The class and method dependency graphs are created for the sequential code, and the loop and block-of-statements dependency graphs are created for each method. From the class dependency graph, the dependency analyser identifies the independent classes, where the objects of the independent classes can run in parallel, and from the method dependency graph, the method analyser detects the methods that can run in parallel. For each block, the analyser detects the statements that run in parallel, where there is no data dependency between statements, and the loop analyser detects the type of parallelism in the loop-block: parallel statements, pipeline, or data partitions.",2019,J. Zhang; Y. Wu,1,8,8,,10.1109/AICCSA47632.2019.9035292,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9035292,IEEE Conferences,IEEE
Using translational score maps to aid MT evaluation,Machine Translation;evaluative systems;Meteor;Bleu,"Compared with human evaluators, machine translation (MT) evaluation tools have demonstrated that they are faster, cheaper, and more consistent in scoring the correctness of translated text. The metrics they generate can adequately compare MT-generated translations to a gold standard, but they fail to address the challenge of choosing the most appropriate path through intermediate languages in a multi-stage translation; in other words, they do not take MT transitivity into account. We propose a novel approach called translational score maps to extend the power of these evaluation tools. The purpose of a translational score map is to assess and choose the most appropriate path through a given set of languages. Using our method in multi-stage translations makes a significant improvement in translation quality.",2011,J. Zhao; H. Guo; Z. Zheng; N. Jiang,15,22,8,,10.1109/NLPKE.2011.6138163,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6138163,IEEE Conferences,IEEE
Generating Predicate Logic Expressions from Natural Language,machine learning;neural machine translation;NLP;predicate logic,"Formal logic expressions are commonly written in standardized mathematical notation. Learning this notation typically requires many years of experience and is not an explicit part of undergraduate academic curricula. Constructing and comprehending logical predicates can feel difficult and unintuitive. We hypothesized that this process can be automated using neural machine translation. Most machine translation techniques involve word-based segmentation as a preprocessing step. Given the nature of our custom dataset, hosts first-order-logic (FOL) semantics primarily in unigram tokens, the word-based approach does not seem applicable. The proposed solution was to automate the translation of short English sentences into FOL expressions using character-level prediction in a recurrent neural network model. We trained four encoder-decoder models (LSTM, Bidirectional GRU with Attention, and two variants of Bi-directional LSTM with Attention). Our experimental results showed that several established neural translation techniques can be implemented to produce highly accurate machine translators of English sentences to FOL formalisms, given only characters as markers of semantics. We also demonstrated that attention-based enhancement to the encoder-decoder architecture can vastly improve translation accuracy. Most machine translation techniques involve word-based segmentation as a preprocessing step. Given the nature of our custom dataset, hosts first-order-logic (FOL) semantics primarily in unigram tokens, the word-based approach does not seem applicable. The proposed solution was to automate the translation of short English sentences into FOL expressions using character-level prediction in a recurrent neural network model. We trained four encoder-decoder models (LSTM, Bidirectional GRU with Attention, and two variants of Bi-directional LSTM with Attention). Our experimental results showed that several established neural translation techniques can be implemented to produce highly accurate machine translators of English sentences to FOL formalisms, given only characters as markers of semantics. We also demonstrated that attention-based enhancement to the encoder-decoder architecture can vastly improve translation accuracy. We trained four encoder-decoder models (LSTM, Bidirectional GRU with Attention, and two variants of Bi-directional LSTM with Attention). Our experimental results showed that several established neural translation techniques can be implemented to produce highly accurate machine translators of English sentences to FOL formalisms, given only characters as markers of semantics. We also demonstrated that attention-based enhancement to the encoder-decoder architecture can vastly improve translation accuracy.",2021,K. G. Hartmann; R. T. Schirrmeister; T. Ball,1,8,8,,10.1109/SoutheastCon45413.2021.9401852,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9401852,IEEE Conferences,IEEE
Back-Translation-Style Data Augmentation for end-to-end ASR,automatic speech recognition;end-to-end;data augmentation;back-translation,"In this paper we propose a novel data augmentation method for attention-based end-to-end automatic speech recognition (E2E-ASR), utilizing a large amount of text which is not paired with speech signals. Inspired by the back-translation technique proposed in the field of machine translation, we build a neural text-to-encoder model which predicts a sequence of hidden states extracted by a pre-trained E2E-ASR encoder from a sequence of characters. By using hidden states as a target instead of acoustic features, it is possible to achieve faster attention learning and reduce computational cost, thanks to sub-sampling in E2E-ASR encoder, also the use of the hidden states can avoid to model speaker dependencies unlike acoustic features. After training, the text-to-encoder model generates the hidden states from a large amount of unpaired text, then E2E-ASR decoder is retrained using the generated hidden states as additional training data. Experimental evaluation using LibriSpeech dataset demonstrates that our proposed method achieves improvement of ASR performance and reduces the number of unknown words without the need for paired data.",2018,K. Jiang; X. Lu,426,433,8,18,10.1109/SLT.2018.8639619,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8639619,IEEE Conferences,IEEE
Relating the Semantics of Dialogue Acts to Linguistic Properties: A Machine Learning Perspective through Lexical Cues,dialogue act;Switchboard corpus;SWBD-DAMSL;automatic classification;ISO dialogue annotation standard,"This paper describes a corpus-based investigation of dialogue acts. In particular, it attempts to answer questions about the empirical distribution of dialogue acts and to what extent dialogue acts can be automatically predicted from their lexical features. The Switchboard Dialogue Act Corpus is adopted and the SWBD-DAMSL tags used for automatic prediction. We show that 60-70% of the dialogue acts can be predicted from lexical features alone depending on different levels of granularity. We also present a mapping from SWBD-DAMSL tags to the tags of the new ISO standard for dialogue act annotation, as part of an ongoing investigation into the relationship between the structure and granularity of the tag set and classification accuracy. The paper concludes with discussions and suggestions for future work.",2011,K. Macherey; O. Bender; H. Ney,490,497,8,2,10.1109/ICSC.2011.32,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6061505,IEEE Conferences,IEEE
Learning Better Classification-Based Reordering Model for Phrase-Based Translation,statistical machine translation;word reordering;log linear model;feature selection,"Reordering is of a challenging issue in phrase-based statistical machine translation systems. This paper proposed three techniques to optimize classification-based reordering models for phrase-based translation under the bracket transduction grammar framework. First, a forced decoding technique is adopted to learn reordering samples for maximum entropy model training. Secondly, additional features are learned from the context of two consecutive phrases to enhance the prediction ability of the reordering classifier. Thirdly, the reordering model score is integrated as two feature functions (STRAIGHT and INVERTED) into the log-linear model to improve its discriminative ability. Experimental result demonstrates significant improvements over the baseline in two translation tasks such as Chinese to English and Chinese to Japanese translation.",2017,M. A. Hasan; F. Alam; S. A. Chowdhury; N. Khan,190,197,8,,10.1109/ICCNEA.2017.82,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8128556,IEEE Conferences,IEEE
Self-Attention and Dynamic Convolution Hybrid Model for Neural Machine Translation,NMT;seq2seq;self-attention;convolution,"In sequence-to-sequence learning, models based on the self-attention mechanism dominate the network structures used for neural machine translation. Recently, convolutional networks have been demonstrated to perform excellently on various translation tasks. Despite the fact that self-attention and convolution have different strengths in modeling sequences, few efforts have been devoted to combining them. In this work, we propose a hybrid model that benefits from both mechanisms. We combine a self-attention module and a dynamic convolution module by taking a weighted sum of their outputs where the weights can be dynamically learned by the model during training. Experimental results show that our hybrid model outperforms baseline models built solely on either of these two mechanisms. And we produce new state-of-the-art results on IWSLT'15 English-German dataset.",2020,M. Akter; M. Shahidur Rahman; M. Zafar Iqbal; M. Reza Selim,352,359,8,,10.1109/ICBK50248.2020.00057,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9194516,IEEE Conferences,IEEE
Applying PSO to natural language processing tasks: Optimizing the identification of syntactic phrases,parsing of natural language;machine translation;syntactically-derived phrasing;particle swarm optimization;parameter optimization,"The present article discusses the use of Particle Swarm Optimisation (PSO) in a natural language processing task, namely the creation of a phrasing model which splits any sentence into linguistically-motivated phrases. This involves taking a limited-size training dataset, where sentences are split into syntactically motivated sentences, and learning how to best segment arbitrary sentences into their corresponding phrases. The extrapolation of phrases is needed in numerous applications involving the generation of texts in natural language. One such application is machine translation, namely the automatic translation of unconstrained text from a source language to a target language. The phrasing model to be learnt comprises a number of parameters which need to be optimized based on the training data. To that end, a machine learning approach has been developed, which is based on the concept of attractive and repulsive forces. Instead of previous efforts using manual tuning of the parameters, here PSO is used to achieve the optimization of the model parameters. Experimental results indicate that the proposed PSO approach is promising, giving the most accurate phrasing in this specific application, with statistically significant improvements over earlier results.",2016,M. Chen; R. Luo,1831,1838,8,4,10.1109/CEC.2016.7744011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7744011,IEEE Conferences,IEEE
Comparative analysis of SMT and DSA on Tagalog corpus,Tagalog;Statistical Machine Translation;Dictionary Substitution Approach;machine translation;Non-Standard Words,"Text is the fundamental element in document classification in many natural language applications. Filipinos are fond of using social networking sites. With the rapid increase in the usage of social networking sites such as Twitter and blogs, there is also an increase in the use of casual language which often does not conform to the rules of spelling, structure and grammar of the specific language of the Filipinos, Tagalog. In this study, those shortened words or Non-Standard Words (NSW) were normalized in order to be easily understand by its readers. In this paper, we discussed the effectiveness of Dictionary Substitution Approach (DSA) and Statistical Machine Translation (SMT) on Tagalog Corpus. The way these machine translations treat the corpus are tackled. The final goal is to determine which machine translation is better. Results identified in this study that DSA and SMT both have advantages and disadvantages.",2017,M. Davydov; O. Lozynska,1,8,8,,10.1109/HNICEM.2017.8269491,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8269491,IEEE Conferences,IEEE
Toward End-to-End Neural Cascading Strategies for Grammatical Error Correction,Grammatical Error Correction;Neural Machine Translation;Machine Translation;Natural Language Processing,"Neural sequence-to-sequence (seq2seq) grammatical error correction (GEC) models are usually computationally expensive both in training and in translation inference. Also, they tend to suffer from poor generalization and arrive at inept capabilities due to limited error-corrected data, and thus, incapable of effectively correcting grammar. In this work, we propose the use of neural cascading strategies in enhancing the effectiveness of neural sequence-to-sequence grammatical error correction models as inspired by post-editing processes of neural machine translations. The findings of our experiments show that adapting cascading techniques in low resource NMT models unleashes performances that is comparable to high setting NMT models. We extensively exploit and evaluate multiple cascading learning strategies and establish best practices toward improving neural seq2seq GECs.",2019,M. H. Nur Fauzan; E. Rakun; D. Hardianto,1265,1272,8,,10.1109/ISKE47853.2019.9170364,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9170364,IEEE Conferences,IEEE
Adjacent reordering phrase-based translation models,Adjacent reordering;decoding algorithm;phrase;machine translation,"We study a number of statistical phrase-based translation models that are constrained by adjacent reordering. Under this constraint, we derive polynomial decoding algorithms respectively for basic and Koehn's phrase-based models, with an implication that many statistical phrase-based models may also be decodable in polynomial time. Using NIST as a metric, we show that the presented decoding algorithms can achieve a relative improvement of about 2.7% over Pharaoh under the same experimental conditions.",2010,M. Kasthuri; S. B. R. Kumar,1,8,8,,10.1109/NLPKE.2010.5587795,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5587795,IEEE Conferences,IEEE
A Fast Decoder Using Less Memory,statistical machine translation;decoding algorithm;improve decoding;mobile application;embedded system,"Statistical Machine Translation (SMT) uses large amount of text corpus and complex calculation operation for translation process, which makes this method require more system resources for fast translation. In this paper, we introduce an approach of decoding in SMT using less memory but translating faster, which is more suitable for mobile applications and embedded systems. In our approach, the SMT models are stored in tree structures in order to speed up the loading process and the decoding algorithm is optimized to reduce operations. We apply our approach to English-Vietnamese and Vietnamese-English SMT systems. When translating 20,000 English sentences, which are 7.45 word lengths in average, we achieve 37.8 BLEU score, the average speed is 0.052 s. In case of Vietnamese-English system, we translate 20,000 Vietnamese sentences, which are 8.42 word lengths in average, the BLEU score is 34.63 with an average speed of 0.091 s.",2012,M. M. Hasan; H. Kurata,173,180,8,,10.1109/KSE.2012.11,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6299416,IEEE Conferences,IEEE
Sign Language to Speech Translation,Indian Sign Language;real-time;gesture recognition;neural networks;machine learning;text-to-speech algorithms,"Although a certain fraction of the world suffers from speech and hearing disabilities, sign language is not a widespread language across the world. In today's oral world, a gesture-based language is not particularly popular with the general masses. However, sign language itself is a fully developed language with multiple regional dialects across the globe. Therefore, to aid with a smoother communication between the speaking and non-speaking world, technical developments can be introduced. A considerable amount of work has been done in this direction. The basic need of the hour is for an application that can function in real-time and can facilitate real-time conversations between a person who can sign in sign language and one that cannot. This paper proposes an application that works on this problem statement. In order to construct such an application designed to respond in real-time and aid a live conversation between a speaking and nonspeaking individual, it is necessary to allow for live video inputs to be made to the app which would then be translated to speech. This paper proposes the use of convolutional neural networks (CNN) alongside the use of Text-to-Speech translator. By use of the CNN algorithm, the gestures can be identified by the proposed application and converted to text, which can then be converted into speech.",2020,M. Macas; L. Lagla; W. Fuertes; G. Guerrero; T. Toulkeridis,1,8,8,,10.1109/ICCCNT49239.2020.9225422,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9225422,IEEE Conferences,IEEE
Improving phrase-based SMT model with Flattened Bilingual Parse Tree,Statistical machine translation;formally syntax-based method;bilingual parse structure,"Phrase orders influence much on translation quality. However, general phrase based methods take only the source side information for phrase orderings. We instead propose a bilingual parse structure, Flattened Bilingual Parse Tree (FBPT), for better describing the inner structure of bilingual sentences and then for better translations. The main idea is to extract phrase pairs with orientation features under the help of FBPT structure. Such features can help maintain better sentence generations during translation. Furthermore, the FBPT structure can be learned automatically from parallel corpus with lower costs without the need of complex linguistic parsing. Evaluations on MT08 translation task indicate that 7% relative improvement on BLEU can be achieved compared to distortion based method (like Pharaoh).",2010,M. S. Arefin; M. M. Hoque; M. O. Rahman; M. S. Arefin,1,8,8,,10.1109/NLPKE.2010.5587836,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5587836,IEEE Conferences,IEEE
Machine Learning Approach for Prediction of Hematic Parameters in Hemodialysis Patients,Artificial neural network;hematocrit;hemodialisys;machine learning;non-invasive;oxygen saturation;SVM;visible spectroscopy,"Objective: This paper shows the application of machine learning techniques to predict hematic parameters using blood visible spectra during ex-vivo treatments. Methods: A spectroscopic setup was prepared for acquisition of blood absorbance spectrum and tested in an operational environment. This setup is non invasive and can be applied during dialysis sessions. A support vector machine and an artificial neural network, trained with a dataset of spectra, have been implemented for the prediction of hematocrit and oxygen saturation. Results & Conclusion: Results of different machine learning algorithms are compared, showing that support vector machine is the best technique for the prediction of hematocrit and oxygen saturation.",2019,M. S. Tšoeu; S. Maxaku; T. Chemvura; N. Ramchunder; Z. Mabuza,1,8,8,3,10.1109/JTEHM.2019.2938951,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8839068,IEEE Journals,IEEE
Building a neural network-based English-to-Arabic transfer module from an unrestricted domain,Natural language processing;Machine Translation Transfer;Neural Networks;Bilingual Corpora;Tagging;Arabic,This paper presents a Transfer Module for an English-to-Arabic Machine Translation System (MTS) using an English-to-Arabic Bilingual Corpus. We propose an approach to build a transfer module by building a new transfer-based system for machine translation using Artificial Neural Networks (ANN). The idea is to allow the ANN-based transfer module to automatically learn correspondences between source and target language structures using a large set of English sentences and their Arabic translations. The paper presents the methodology for corpus building. It then introduces the approach that has been followed to develop the transfer module. It finally presents the experimental results which are very encouraging.,2010,N. Weißkirchen; M. V. Reddy; A. Wendemuth; I. Siegert,94,101,8,1,10.1109/ICMWI.2010.5648157,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5648157,IEEE Conferences,IEEE
Unwritten languages demand attention too! Word discovery with encoder-decoder models,Word Discovery;Computational Language Documentation;Neural Machine Translation;Attention models,"Word discovery is the task of extracting words from un-segmented text. In this paper we examine to what extent neural networks can be applied to this task in a realistic unwritten language scenario, where only small corpora and limited annotations are available. We investigate two scenarios: one with no supervision and another with limited supervision with access to the most frequent words. Obtained results show that it is possible to retrieve at least 27% of the gold standard vocabulary by training an encoder-decoder neural machine translation system with only 5,157 sentences. This result is close to those obtained with a task-specific Bayesian nonparametric model. Moreover, our approach has the advantage of generating translation alignments, which could be used to create a bilingual lexicon. As a future perspective, this approach is also well suited to work directly from speech.",2017,O. Dhariya; S. Malviya; U. S. Tiwary,458,465,8,2,10.1109/ASRU.2017.8268972,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8268972,IEEE Conferences,IEEE
Towards a Modular Brain-Machine Interface for Intelligent Vehicle Systems Control – A CARLA Demonstration,Assistive technology;brain-machine interface;steering control;velocity control;intelligent vehicle systems,"Objective: Individuals with paralysis often have mobility and dexterity impairments that limit their ability to operate motor vehicle controls. Integrating brain-machine interface (BMI) neurotechnology with vehicle control systems (VCS) provides a novel solution to this problem. In this proof-of-concept study, we show that an intracortical BMI developed to restore voluntary grasp can be repurposed to decode motor intention for vehicle velocity and steering control. Methods: The BMI-VCS consists of four components: 1) implanted motor cortex microelectrode array and NeuroPort data acquisition system, 2) machine learning workstation, 3) Python interface to generate control signals, and 4) vehicle control system. Results: Direct cortical steering and velocity control were achieved through accurate decoding of movement intention (supination, pronation, hand open, hand close) from the participant's motor cortex, translating intention into vehicle commands (turn right, turn left, accelerate, decelerate, respectively), and dynamically switching between commands to turn corners, start and stop, shift from forward to reverse, and parallel park. Conclusion: By translating BMI decoder outputs into high-level vehicle commands, a participant with tetraparesis from C5 ASIA A spinal cord injury successfully navigated CARLA driving simulator courses in real time. These decoder outputs could also be used offline for shared control of a scale model car. Significance: High-level, shared vehicle control with BMI-VCS offers an innovative way to return independent driving abilities to those with disability. BMI systems that can control multiple end-effectors may be particularly useful to those with paralysis.",2019,O. Scharenborg; L. Besacier; A. Black; M. Hasegawa-Johnson; F. Metze; G. Neubig; S. Stüker; P. Godard; M. Müller; L. Ondel; S. Palaskar; P. Arthur; F. Ciannella; M. Du; E. Larsen; D. Merkx; R. Riad; L. Wang; E. Dupoux,277,284,8,,10.1109/SMC.2019.8914317,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8914317,IEEE Conferences,IEEE
