Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Token reference vs. type reference: Implications for machine translation","Machine Translation","","6","3","10.1007/BF00397281","Cornelia Zelinsky-Wibbelt","1991","http://link.springer.com/article/10.1007/BF00397281","Article"
"Neural Machine Translation with Phrasal Attention","Machine Translation","","","","10.1007/978-981-10-7134-8_1","Yachao LiDeyi XiongMin Zhang","2017","http://link.springer.com/chapter/10.1007/978-981-10-7134-8_1","Chapter"
"Youdao’s Winning Solution to the NLPCC-2018 Task 2 Challenge: A Neural Machine Translation Approach to Chinese Grammatical Error Correction","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-99495-6_29","Kai FuJin HuangYitao Duan","2018","http://link.springer.com/chapter/10.1007/978-3-319-99495-6_29","Chapter"
"Domain Adaptation of Statistical Machine Translation Models with Monolingual Data for Cross Lingual Information Retrieval","Advances in Information Retrieval","","","","10.1007/978-3-642-36973-5_80","Vassilina NikoulinaStéphane Clinchant","2013","http://link.springer.com/chapter/10.1007/978-3-642-36973-5_80","Chapter"
"Neural Machine Translation for Financial Listing Documents","Neural Information Processing","","","","10.1007/978-3-030-04221-9_21","Linkai LuoHaiqin YangSai Cheong SiuFrancis Yuk Lun Chin","2018","http://link.springer.com/chapter/10.1007/978-3-030-04221-9_21","Chapter"
"Constructing Uyghur Named Entity Recognition System Using Neural Machine Translation Tag Projection","Chinese Computational Linguistics","","","","10.1007/978-3-030-63031-7_18","Azmat AnwarXiao LiYating YangRui DongTurghun Osman","2020","http://link.springer.com/chapter/10.1007/978-3-030-63031-7_18","Chapter"
"Evaluation of Improved Components of AMIS Project for Speech Recognition, Machine Translation and Video/Audio/Text Summarization","Multimedia Communications, Services and Security","","","","10.1007/978-3-030-59000-0_24","Aritz BadiolaAmaia Méndez ZorrillaBegonya Garcia-Zapirain SotoMichał GregaMikołaj LeszczukKamel Smaïli","2020","http://link.springer.com/chapter/10.1007/978-3-030-59000-0_24","Chapter"
"Semantic Model of Possessive Pronouns Machine Translation for English to Bulgarian Language","On the Move to Meaningful Internet Systems: OTM 2015 Workshops","","","","10.1007/978-3-319-26138-6_38","Velislava Stoykova","2015","http://link.springer.com/chapter/10.1007/978-3-319-26138-6_38","Chapter"
"Quality of Thai to English Machine Translation","Knowledge Management and Acquisition for Intelligent Systems","","","","10.1007/978-3-319-42706-5_20","Séamus Lyons","2016","http://link.springer.com/chapter/10.1007/978-3-319-42706-5_20","Chapter"
"Intercultural Collaboration Support System Using Disaster Safety Map and Machine Translation","Culture and Computing","","","","10.1007/978-3-642-17184-0_8","Yoshiyasu IkedaYosuke YoshiokaYasuhiko Kitamura","2010","http://link.springer.com/chapter/10.1007/978-3-642-17184-0_8","Chapter"
"English-Vietnamese Machine Translation of Proper Names","Text, Speech and Dialogue","","","","10.1007/978-3-642-32790-2_47","Thi Thanh Thao PhanIzabella Thomas","2012","http://link.springer.com/chapter/10.1007/978-3-642-32790-2_47","Chapter"
"Making the Most of Synthetic Parallel Texts: Portuguese-Chinese Neural Machine Translation Enhanced with Back-Translation","Computational Processing of the Portuguese Language","","","","10.1007/978-3-030-41505-1_12","Rodrigo SantosJoão SilvaAntónio Branco","2020","http://link.springer.com/chapter/10.1007/978-3-030-41505-1_12","Chapter"
"Cross Aggregation of Multi-head Attention for Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-32233-5_30","Juncheng CaoHai ZhaoKai Yu","2019","http://link.springer.com/chapter/10.1007/978-3-030-32233-5_30","Chapter"
"TransEasy: A Chinese-English Machine Translation System Based on Hybrid Approach","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_49","Qun LiuShiwen Yu","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_49","Chapter"
"The Meteor metric for automatic evaluation of machine translation","Machine Translation","","23","2 - 3","10.1007/s10590-009-9059-4","Alon LavieMichael J. Denkowski","2009","http://link.springer.com/article/10.1007/s10590-009-9059-4","Article"
"Syntax Augmented Inversion Transduction Grammars for Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-12116-6_36","Guillem Gascó MoraJoan Andreu Sánchez Peiró","2010","http://link.springer.com/chapter/10.1007/978-3-642-12116-6_36","Chapter"
"An English-Japanese machine translation system using the active dictionary","New Generation Computing","","1","2","10.1007/BF03037424","Hozumi TanakaHitoshi IsaharaHideki Yasukawa","1983","http://link.springer.com/article/10.1007/BF03037424","Article"
"Detailed Description of the Development of a MOOC in the Topic of Statistical Machine Translation","Human-Inspired Computing and Its Applications","","","","10.1007/978-3-319-13647-9_10","Marta R. Costa-jussàLluís FormigaJordi PetitJosé A. R. Fonollosa","2014","http://link.springer.com/chapter/10.1007/978-3-319-13647-9_10","Chapter"
"Human Evaluation of Online Machine Translation Services for English/Russian-Croatian","New Contributions in Information Systems and Technologies","","","","10.1007/978-3-319-16486-1_108","Sanja SeljanMarko TucakovićIvan Dunđer","2015","http://link.springer.com/chapter/10.1007/978-3-319-16486-1_108","Chapter"
"Grammatical Error Correction for Vietnamese Using Machine Translation","Computational Linguistics","","","","10.1007/978-981-15-6168-9_41","Nghia Luan PhamTien Ha NguyenVan Vinh Nguyen","2020","http://link.springer.com/chapter/10.1007/978-981-15-6168-9_41","Chapter"
"Part-of-Speech Tagging Based on Machine Translation Techniques","Pattern Recognition and Image Analysis","","","","10.1007/978-3-540-72847-4_34","Guillem Gascó i MoraJoan Andreu Sánchez Peiró","2007","http://link.springer.com/chapter/10.1007/978-3-540-72847-4_34","Chapter"
"An Approach to Spanish Subjunctive Mood in Japanese to Spanish Machine Translation","AI 2007: Advances in Artificial Intelligence","","","","10.1007/978-3-540-76928-6_86","Manuel Medina GonzálezHirosato Nomura","2007","http://link.springer.com/chapter/10.1007/978-3-540-76928-6_86","Chapter"
"A Method of Unknown Words Processing for Neural Machine Translation Using HowNet","Machine Translation","","","","10.1007/978-981-10-7134-8_3","Shaotong LiJinAn XuYujie ZhangYufeng Chen","2017","http://link.springer.com/chapter/10.1007/978-981-10-7134-8_3","Chapter"
"Exploring the Advantages of Corpus in Neural Machine Translation of Agglutinative Language","Artificial Neural Networks and Machine Learning – ICANN 2019: Text and Time Series","","","","10.1007/978-3-030-30490-4_27","Yatu JiHongxu HouNier WuJunjie Chen","2019","http://link.springer.com/chapter/10.1007/978-3-030-30490-4_27","Chapter"
"K-Translate - Interactive Multi-system Machine Translation","Databases and Information Systems","","","","10.1007/978-3-319-40180-5_21","Matīss Rikters","2016","http://link.springer.com/chapter/10.1007/978-3-319-40180-5_21","Chapter"
"Research for Uyghur-Chinese Neural Machine Translation","Natural Language Understanding and Intelligent Applications","","","","10.1007/978-3-319-50496-4_12","Jinying KongYating YangXi ZhouLei WangXiao Li","2016","http://link.springer.com/chapter/10.1007/978-3-319-50496-4_12","Chapter"
"Participles in English to Sanskrit Machine Translation","Information Systems for Indian Languages","","","","10.1007/978-3-642-19403-0_35","Vimal MishraR. B. Mishra","2011","http://link.springer.com/chapter/10.1007/978-3-642-19403-0_35","Chapter"
"Optimized Uyghur Segmentation for Statistical Machine Translation","Natural Language Processing and Information Systems","","","","10.1007/978-3-319-19581-0_36","Chenggang MiYating YangRui DongXi ZhouLei WangXiao LiTonghai JiangTurghun Osman","2015","http://link.springer.com/chapter/10.1007/978-3-319-19581-0_36","Chapter"
"Machine Translation Method Based on Non-compositional Semantics (Word-Level Sentence-Pattern-Based MT)","Computational Linguistics","","","","10.1007/978-981-10-0515-2_16","Jun SakataJin’ichi MurakamiMasato TokuhisaMasaki Murata","2016","http://link.springer.com/chapter/10.1007/978-981-10-0515-2_16","Chapter"
"Combined Technology of Lexical Selection in Rule-Based Machine Translation","Computational Collective Intelligence","","","","10.1007/978-3-319-67077-5_47","Ualsher TukeyevDina AmirovaAidana KaribayevaAida SundetovaBalzhan Abduali","2017","http://link.springer.com/chapter/10.1007/978-3-319-67077-5_47","Chapter"
"Improved Quality Estimation of Machine Translation with Pre-trained Language Representation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-32233-5_32","Guoyi MiaoHui DiJinan XuZhongcheng YangYufeng ChenKazushige Ouchi","2019","http://link.springer.com/chapter/10.1007/978-3-030-32233-5_32","Chapter"
"Neural Machine Translation Based on Back-Translation for Multilingual Translation Evaluation Task","Machine Translation","","","","10.1007/978-981-33-6162-1_13","Siyu LaiYueting YangJin’an XuYufeng ChenHui Huang","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_13","Chapter"
"Early Machine Translation","Language, Life, Limits","","","","10.1007/978-3-319-08019-2_28","Jacqueline Léon","2014","http://link.springer.com/chapter/10.1007/978-3-319-08019-2_28","Chapter"
"Phrase-Based Statistical Machine Translation by Using Reordering Search and Additional Features","Computational Intelligence","","","","10.1007/978-3-540-37275-2_62","Miao LiPeng GaoJian ZhangYi Luo","2006","http://link.springer.com/chapter/10.1007/978-3-540-37275-2_62","Chapter"
"Natural Language Ontology of Action: A Gap with Huge Consequences for Natural Language Understanding and Machine Translation","Human Language Technology Challenges for Computer Science and Linguistics","","","","10.1007/978-3-319-08958-4_31","Massimo Moneglia","2014","http://link.springer.com/chapter/10.1007/978-3-319-08958-4_31","Chapter"
"Towards a Framework for Knowledge-based Machine Translation","GWAI-89 13th German Workshop on Artificial Intelligence","","","","10.1007/978-3-642-75100-4_29","Jörg Schütz","1989","http://link.springer.com/chapter/10.1007/978-3-642-75100-4_29","Chapter"
"Essential requirements for a large-scale operational machine-translation system","Computers and translation","","1","2","10.1007/BF00936466","Ian M. Pigott","1986","http://link.springer.com/article/10.1007/BF00936466","Article"
"The background to practical machine translation","Computers and translation","","1","2","10.1007/BF00936470","Veronica Lawson","1986","http://link.springer.com/article/10.1007/BF00936470","Article"
"Making Language Model as Small as Possible in Statistical Machine Translation","Machine Translation","","","","10.1007/978-3-662-45701-6_1","Yang LiuJiajun ZhangJie HaoDakun Zhang","2014","http://link.springer.com/chapter/10.1007/978-3-662-45701-6_1","Chapter"
"Aligning Turkish and English Parallel Texts for Statistical Machine Translation","Computer and Information Sciences - ISCIS 2005","","","","10.1007/11569596_64","İlknur D. El-KahloutKemal Oflazer","2005","http://link.springer.com/chapter/10.1007/11569596_64","Chapter"
"SINAI at CLEF 2004: Using Machine Translation Resources with a Mixed 2-Step RSV Merging Algorithm","Multilingual Information Access for Text, Speech and Images","","","","10.1007/11519645_16","Fernando Martínez-SantiagoMiguel A. García-CumbrerasManuel C. Díaz-GalianoL. Alfonso Ureña","2005","http://link.springer.com/chapter/10.1007/11519645_16","Chapter"
"BBN’s low-resource machine translation for the LoReHLT 2016 evaluation","Machine Translation","","32","1 - 2","10.1007/s10590-017-9206-2","Hendra SetiawanZhongqiang HuangRabih Zbib","2018","http://link.springer.com/article/10.1007/s10590-017-9206-2","Article"
"Coarse-to-Fine Machine Translation Decoding","Coarse-to-Fine Natural Language Processing","","","","10.1007/978-3-642-22743-1_5","Slav Petrov","2012","http://link.springer.com/chapter/10.1007/978-3-642-22743-1_5","Chapter"
"Significance tests of automatic machine translation evaluation metrics","Machine Translation","","24","1","10.1007/s10590-010-9073-6","Ying ZhangStephan Vogel","2010","http://link.springer.com/article/10.1007/s10590-010-9073-6","Article"
"Automatic Long Sentence Segmentation for Neural Machine Translation","Natural Language Understanding and Intelligent Applications","","","","10.1007/978-3-319-50496-4_14","Shaohui KuangDeyi Xiong","2016","http://link.springer.com/chapter/10.1007/978-3-319-50496-4_14","Chapter"
"Phrase-Based Statistical Machine Translation: A Level of Detail Approach","Natural Language Processing – IJCNLP 2005","","","","10.1007/11562214_51","Hendra SetiawanHaizhou LiMin ZhangBeng Chin Ooi","2005","http://link.springer.com/chapter/10.1007/11562214_51","Chapter"
"Training with Additional Semantic Constraints for Enhancing Neural Machine Translation","PRICAI 2019: Trends in Artificial Intelligence","","","","10.1007/978-3-030-29908-8_24","Yatu JiHongxu HouJunjie ChenNier Wu","2019","http://link.springer.com/chapter/10.1007/978-3-030-29908-8_24","Chapter"
"Handling Translation Divergences: Combining Statistical and Symbolic Techniques in Generation-Heavy Machine Translation","Machine Translation: From Research to Real Users","","","","10.1007/3-540-45820-4_9","Nizar HabashBonnie Dorr","2002","http://link.springer.com/chapter/10.1007/3-540-45820-4_9","Chapter"
"Neural Machine Translation with Bilingual History Involved Attention","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-32236-6_23","Haiyang XueYang FengDi YouWen ZhangJingyu Li","2019","http://link.springer.com/chapter/10.1007/978-3-030-32236-6_23","Chapter"
"Pinyin as a Feature of Neural Machine Translation for Chinese Speech Recognition Error Correction","Chinese Computational Linguistics","","","","10.1007/978-3-030-32381-3_52","Dagao DuanShaohu LiangZhongming HanWeijie Yang","2019","http://link.springer.com/chapter/10.1007/978-3-030-32381-3_52","Chapter"
"Parallel Machine Translation for gLite Based Grid Infrastructures","ICT Innovations 2010","","","","10.1007/978-3-642-19325-5_14","Miloš StolićAnastas Mišev","2011","http://link.springer.com/chapter/10.1007/978-3-642-19325-5_14","Chapter"
"MSR-MT: The Microsoft Research Machine Translation System","Machine Translation: From Research to Real Users","","","","10.1007/3-540-45820-4_27","William B. DolanJessie PinkhamStephen D. Richardson","2002","http://link.springer.com/chapter/10.1007/3-540-45820-4_27","Chapter"
"Gated Self-attentive Encoder for Neural Machine Translation","Knowledge Science, Engineering and Management","","","","10.1007/978-3-030-29551-6_58","Xiangpeng WeiYue HuLuxi Xing","2019","http://link.springer.com/chapter/10.1007/978-3-030-29551-6_58","Chapter"
"Integrating Multi-source Bilingual Information for Chinese Word Segmentation in Statistical Machine Translation","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-642-41491-6_7","Wei ChenWei WeiZhenbiao ChenBo Xu","2013","http://link.springer.com/chapter/10.1007/978-3-642-41491-6_7","Chapter"
"Effectiveness for Machine Translation Method Using Inductive Learning on Number Representation","AI 2002: Advances in Artificial Intelligence","","","","10.1007/3-540-36187-1_57","Masafumi MatsuharaKenji ArakiKoji Tochinai","2002","http://link.springer.com/chapter/10.1007/3-540-36187-1_57","Chapter"
"Improving Context-Aware Neural Machine Translation with Target-Side Context","Computational Linguistics","","","","10.1007/978-981-15-6168-9_10","Hayahide YamagishiMamoru Komachi","2020","http://link.springer.com/chapter/10.1007/978-981-15-6168-9_10","Chapter"
"A Hybrid Approach to the Development of Bidirectional English-Oromiffa Machine Translation","Advances in Natural Language Processing","","","","10.1007/978-3-319-10888-9_24","Jabesa DabaYaregal Assabie","2014","http://link.springer.com/chapter/10.1007/978-3-319-10888-9_24","Chapter"
"Learning from User Feedback for Machine Translation in Real-Time","Natural Language Understanding and Intelligent Applications","","","","10.1007/978-3-319-50496-4_53","Guoping HuangJiajun ZhangYu ZhouChengqing Zong","2016","http://link.springer.com/chapter/10.1007/978-3-319-50496-4_53","Chapter"
"Editors’ foreword to the special issue on human factors in neural machine translation","Machine Translation","","33","1 - 2","10.1007/s10590-019-09231-y","Sheila CastilhoFederico GaspariJoss MoorkensMaja PopovićAntonio Toral","2019","http://link.springer.com/article/10.1007/s10590-019-09231-y","Article"
"Finding Better Subword Segmentation for Neural Machine Translation","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-030-01716-3_5","Yingting WuHai Zhao","2018","http://link.springer.com/chapter/10.1007/978-3-030-01716-3_5","Chapter"
"The Solution of the Problem of Unknown Words Under Neural Machine Translation of the Kazakh Language","Intelligent Information and Database Systems","","","","10.1007/978-981-15-3380-8_28","Aliya TurganbayevaUalsher Tukeyev","2020","http://link.springer.com/chapter/10.1007/978-981-15-3380-8_28","Chapter"
"Morphology to the Rescue Redux: Resolving Borrowings and Code-Mixing in Machine Translation","Systems and Frameworks for Computational Morphology","","","","10.1007/978-3-642-23138-4_6","Esmé ManandiseClaudia Gdaniec","2011","http://link.springer.com/chapter/10.1007/978-3-642-23138-4_6","Chapter"
"Grammatical Inference for Syntax-Based Statistical Machine Translation","Grammatical Inference: Algorithms and Applications","","","","10.1007/11872436_35","Menno van ZaanenJeroen Geertzen","2006","http://link.springer.com/chapter/10.1007/11872436_35","Chapter"
"An Example-Based Machine Translation System Using DP-Matching Between Word Sequences","Recent Advances in Example-Based Machine Translation","","","","10.1007/978-94-010-0181-6_6","Eiichiro Sumita","2003","http://link.springer.com/chapter/10.1007/978-94-010-0181-6_6","Chapter"
"Recent Research in the Field of Example-Based Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/3-540-44686-9_20","Michael Carl","2001","http://link.springer.com/chapter/10.1007/3-540-44686-9_20","Chapter"
"Transfer Learning for Chinese-Lao Neural Machine Translation with Linguistic Similarity","Machine Translation","","","","10.1007/978-981-33-6162-1_1","Zhiqiang YuZhengtao YuYuxin HuangJunjun GuoZhenhan WangZhibo Man","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_1","Chapter"
"Effective Hypotheses Re-ranking Model in Statistical Machine Translation","Machine Translation","","","","10.1007/978-3-662-45701-6_3","Yiming WangLongyue WangDerek F. WongLidia S. Chao","2014","http://link.springer.com/chapter/10.1007/978-3-662-45701-6_3","Chapter"
"Agreement-Based Joint Training for Bidirectional Attention-Based Neural Machine Translation","Joint Training for Neural Machine Translation","","","","10.1007/978-981-32-9748-7_2","Yong Cheng","2019","http://link.springer.com/chapter/10.1007/978-981-32-9748-7_2","Chapter"
"Analysis of Temporal Adverbial Phrases for Portuguese–Chinese Machine Translation","Computational Processing of the Portuguese Language","","","","10.1007/978-3-319-41552-9_6","Siyou LiuAna Luisa Varani Leal","2016","http://link.springer.com/chapter/10.1007/978-3-319-41552-9_6","Chapter"
"Review of Cyril Goutte, Nicola Cancedda, Marc Dymetman, and George Foster (eds): Learning machine translation","Machine Translation","","23","4","10.1007/s10590-010-9069-2","Philipp Koehn","2009","http://link.springer.com/article/10.1007/s10590-010-9069-2","Article"
"Cross-View Action Recognition Based on Statistical Machine Translation","Biometric Recognition","","","","10.1007/978-3-642-35136-5_32","Jing WangHuicheng Zheng","2012","http://link.springer.com/chapter/10.1007/978-3-642-35136-5_32","Chapter"
"Mining Parallel Resources for Machine Translation from Comparable Corpora","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-18111-0_40","Santanu PalPartha PakrayAlexander GelbukhJosef van Genabith","2015","http://link.springer.com/chapter/10.1007/978-3-319-18111-0_40","Chapter"
"Semi-automatic Quasi-morphological Word Segmentation for Neural Machine Translation","Databases and Information Systems","","","","10.1007/978-3-319-97571-9_23","Jānis ZutersGus StrazdsKārlis Immers","2018","http://link.springer.com/chapter/10.1007/978-3-319-97571-9_23","Chapter"
"Non-autoregressive Neural Machine Translation with Distortion Model","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-60450-9_32","Long ZhouJiajun ZhangYang ZhaoChengqing Zong","2020","http://link.springer.com/chapter/10.1007/978-3-030-60450-9_32","Chapter"
"AL-TERp: Extended Metric for Machine Translation Evaluation of Arabic","Natural Language Processing and Information Systems","","","","10.1007/978-3-319-59569-6_17","Mohamed El MarouaniTarik BoudaaNourddine Enneya","2017","http://link.springer.com/chapter/10.1007/978-3-319-59569-6_17","Chapter"
"Statistical Machine Translation of Subtitles: From OpenSubtitles to TED","Language Processing and Knowledge in the Web","","","","10.1007/978-3-642-40722-2_14","Mathias MüllerMartin Volk","2013","http://link.springer.com/chapter/10.1007/978-3-642-40722-2_14","Chapter"
"Fast-Syntax-Matching-Based Japanese-Chinese Limited Machine Translation","Natural Language Understanding and Intelligent Applications","","","","10.1007/978-3-319-50496-4_55","Wuying LiuLin Wang","2016","http://link.springer.com/chapter/10.1007/978-3-319-50496-4_55","Chapter"
"Lexical Ambiguity Resolution for Turkish in Direct Transfer Machine Translation Models","Computer and Information Sciences – ISCIS 2006","","","","10.1007/11902140_26","A. Cüneyd TantuğEşref AdalıKemal Oflazer","2006","http://link.springer.com/chapter/10.1007/11902140_26","Chapter"
"Christa Hauenschild and Susanne Heizmann (eds), Machine Translation and Translation Theory","Machine Translation","","15","3","10.1023/A:1011652711006","Harold Somers","2000","http://link.springer.com/article/10.1023/A%3A1011652711006","Article"
"Unsupervised Machine Translation Quality Estimation in Black-Box Setting","Machine Translation","","","","10.1007/978-981-33-6162-1_3","Hui HuangHui DiJin’an XuKazushige OuchiYufeng Chen","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_3","Chapter"
"Handling Structural Divergences and Recovering Dropped Arguments in a Korean/English Machine Translation System","Envisioning Machine Translation in the Information Future","","","","10.1007/3-540-39965-8_5","Chung-hye HanBenoit LavoieMartha PalmerOwen RambowRichard KittredgeTanya KorelskyNari KimMyunghee Kim","2000","http://link.springer.com/chapter/10.1007/3-540-39965-8_5","Chapter"
"Paragraph-Level Hierarchical Neural Machine Translation","Neural Information Processing","","","","10.1007/978-3-030-36718-3_28","Yuqi ZhangKui MengGongshen Liu","2019","http://link.springer.com/chapter/10.1007/978-3-030-36718-3_28","Chapter"
"GRADE: A software environment for machine translation","Computers and translation","","3","1","10.1007/BF02057968","Jun-ichi NakamuraJun-ichi TsujiiMakoto Nagao","1988","http://link.springer.com/article/10.1007/BF02057968","Article"
"Dynamic Fusion: Attentional Language Model for Neural Machine Translation","Computational Linguistics","","","","10.1007/978-981-15-6168-9_9","Michiki KurosawaMamoru Komachi","2020","http://link.springer.com/chapter/10.1007/978-981-15-6168-9_9","Chapter"
"Learning Word Alignment Models for Kazakh-English Machine Translation","Integrated Uncertainty in Knowledge Modelling and Decision Making","","","","10.1007/978-3-319-25135-6_31","Amandyk Kartbayev","2015","http://link.springer.com/chapter/10.1007/978-3-319-25135-6_31","Chapter"
"Statistical Machine Translation Decoding Using Target Word Reordering","Structural, Syntactic, and Statistical Pattern Recognition","","","","10.1007/978-3-540-27868-9_80","Jesús TomásFrancisco Casacuberta","2004","http://link.springer.com/chapter/10.1007/978-3-540-27868-9_80","Chapter"
"Textual Entailment Using Machine Translation Evaluation Metrics","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-77113-7_25","Tanik SaikhSudip Kumar NaskarAsif EkbalSivaji Bandyopadhyay","2018","http://link.springer.com/chapter/10.1007/978-3-319-77113-7_25","Chapter"
"The Use of Machine Translation System for Component Development of Adaptive Computer System for Individual Testing of Students’ Knowledge","Digital Transformation and Global Society","","","","10.1007/978-3-030-37858-5_40","Alexander FedosovDina EliseevaAnastasia Karnaukhova","2019","http://link.springer.com/chapter/10.1007/978-3-030-37858-5_40","Chapter"
"Topic Model Based Adaptation Data Selection for Domain-Specific Machine Translation","Social Media Processing","","","","10.1007/978-981-10-2993-6_14","Liang YaoMengyi LiuYu HongHao LiuJianmin Yao","2016","http://link.springer.com/chapter/10.1007/978-981-10-2993-6_14","Chapter"
"Improving Unsupervised Neural Machine Translation with Dependency Relationships","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-60450-9_34","Jia XuNa YeGuiPing Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-60450-9_34","Chapter"
"A Study on Multilingual Transfer Learning in Neural Machine Translation: Finding the Balance Between Languages","Statistical Language and Speech Processing","","","","10.1007/978-3-030-31372-2_5","Adrien BardetFethi BougaresLoïc Barrault","2019","http://link.springer.com/chapter/10.1007/978-3-030-31372-2_5","Chapter"
"Online Learning of Log-Linear Weights in Interactive Machine Translation","Advances in Speech and Language Technologies for Iberian Languages","","","","10.1007/978-3-642-35292-8_29","Francisco-Javier López-SalcedoGermán Sanchis-TrillesFrancisco Casacuberta","2012","http://link.springer.com/chapter/10.1007/978-3-642-35292-8_29","Chapter"
"Evaluating Embedded Machine Translation in Military Field Exercises","Envisioning Machine Translation in the Information Future","","","","10.1007/3-540-39965-8_27","M. HollandC. SchlesigerC. Tate","2000","http://link.springer.com/chapter/10.1007/3-540-39965-8_27","Chapter"
"Improving Reordering Models with Phrase Number Feature for Statistical Machine Translation","Artificial Intelligence and Signal Processing","","","","10.1007/978-3-319-10849-0_23","Neda NoormohammadiZahra RahimiShahram Khadivi","2014","http://link.springer.com/chapter/10.1007/978-3-319-10849-0_23","Chapter"
"Study on the Importance of Cultural Context Analysis in Machine Translation","Proceedings of The Eighth International Conference on Bio-Inspired Computing: Theories and Applications (BIC-TA), 2013","","","","10.1007/978-3-642-37502-6_4","Zonghua Wang","2013","http://link.springer.com/chapter/10.1007/978-3-642-37502-6_4","Chapter"
"Review article: Project for integrated development of English-Spanish machine translation","Computers and translation","","2","1","10.1007/BF01540133","William W. Cressey","1987","http://link.springer.com/article/10.1007/BF01540133","Article"
"Translation of Quantifiers in Japanese-Chinese Machine Translation","Advances in Natural Language Processing","","","","10.1007/978-3-642-33983-7_2","Shaoyu ChenTadahiro Matsumoto","2012","http://link.springer.com/chapter/10.1007/978-3-642-33983-7_2","Chapter"
"Research on Chinese-Tibetan Neural Machine Translation","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-030-01716-3_9","Wen LaiXiaobing ZhaoXiaqing Li","2018","http://link.springer.com/chapter/10.1007/978-3-030-01716-3_9","Chapter"
"Text Genre –  An Unexplored Parameter in Statistical Machine Translation","Human Language Technology Challenges for Computer Science and Linguistics","","","","10.1007/978-3-319-08958-4_37","Monica GavrilaCristina Vertan","2014","http://link.springer.com/chapter/10.1007/978-3-319-08958-4_37","Chapter"
"Machine Translation on a Parallel Code-Switched Corpus","Advances in Artificial Intelligence","","","","10.1007/978-3-030-18305-9_40","M. A. MenacerD. LangloisD. JouvetD. FohrO. MellaK. Smaïli","2019","http://link.springer.com/chapter/10.1007/978-3-030-18305-9_40","Chapter"
"Example-Based Machine Translation with Templates","Verbmobil: Foundations of Speech-to-Speech Translation","","","","10.1007/978-3-662-04230-4_30","Marko Auerswald","2000","http://link.springer.com/chapter/10.1007/978-3-662-04230-4_30","Chapter"
"I Can Guess What You Mean: A Monolingual Query Enhancement for Machine Translation","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-319-47674-2_5","Chenxi PangHai ZhaoZhongyi Li","2016","http://link.springer.com/chapter/10.1007/978-3-319-47674-2_5","Chapter"
"Translation Agent: A New Metaphor for Machine Translation","New Generation Computing","","32","2","10.1007/s00354-014-0204-0","Chunqi ShiToru IshidaDonghui Lin","2014","http://link.springer.com/article/10.1007/s00354-014-0204-0","Article"
"A user-study on online adaptation of neural machine translation to human post-edits","Machine Translation","","32","4","10.1007/s10590-018-9224-8","Sariya KarimovaPatrick SimianerStefan Riezler","2018","http://link.springer.com/article/10.1007/s10590-018-9224-8","Article"
"Deep open-source machine translation","Machine Translation","","25","2","10.1007/s10590-011-9099-4","Francis BondStephan OepenEric NicholsDan FlickingerErik VelldalPetter Haugereid","2011","http://link.springer.com/article/10.1007/s10590-011-9099-4","Article"
"No Free Lunch in Factored Phrase-Based Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-37256-8_18","Aleš TamchynaOndřej Bojar","2013","http://link.springer.com/chapter/10.1007/978-3-642-37256-8_18","Chapter"
"APAC — An experiment in machine translation","Machine Translation","","4","3","10.1007/BF00420842","Zdeněk KirschnerAlexandr Rosen","1989","http://link.springer.com/article/10.1007/BF00420842","Article"
"Reversible Machine Translation: What to Do When the Languages Don’t Match Up","Reversible Grammar in Natural Language Processing","","","","10.1007/978-1-4615-2722-0_13","James BarnettInderjeet ManiElaine Rich","1994","http://link.springer.com/chapter/10.1007/978-1-4615-2722-0_13","Chapter"
"The impact of Arabic morphological segmentation on broad-coverage English-to-Arabic statistical machine translation","Machine Translation","","26","1 - 2","10.1007/s10590-011-9101-1","Hassan Al-HajAlon Lavie","2012","http://link.springer.com/article/10.1007/s10590-011-9101-1","Article"
