Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Al-Khalifa A.S., Al-Khalifa H.S.","37560895700;16241119700;","Towards improving machine translation using user generated content",2011,"2011 International Conference on Communications and Information Technology, ICCIT 2011",,, 5762660,"11","14",,,"10.1109/ICCITECHNOL.2011.5762660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957463712&doi=10.1109%2fICCITECHNOL.2011.5762660&partnerID=40&md5=bd38883d7ccdb0d1193bd700e373b6bd","Electronic and Computer Institute, King Abdulaziz City of Science and Technology, Riyadh, Saudi Arabia; Information Technology Department, King Saud University, Riyadh, Saudi Arabia","Al-Khalifa, A.S., Electronic and Computer Institute, King Abdulaziz City of Science and Technology, Riyadh, Saudi Arabia; Al-Khalifa, H.S., Information Technology Department, King Saud University, Riyadh, Saudi Arabia","This paper presents a novel approach to overcome the limitation inherited in statistical machine translation services where the translation of new terms is not covered. The proposed approach is based on the power of user generated content to drive Arabic translations of English words. Our initial pilot experiment reveals the potential of our approach. This approach can act as an add-on to improve the quality of existing statistical translation services such as Google Translate. © 2011 IEEE.","Arabic language; machine translation; user generated content","Arabic languages; English word; machine translation; Machine translations; Pilot experiment; Statistical machine translation; Statistical translation; user generated content; Information technology; Information theory",Conference Paper,"Final","",Scopus,2-s2.0-79957463712
"Win A.T.","57209044234;","Words to phrase reordering machine translation system in Myanmar-English using English grammar rules",2011,"ICCRD2011 - 2011 3rd International Conference on Computer Research and Development","3",, 5764243,"50","53",,2,"10.1109/ICCRD.2011.5764243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957565178&doi=10.1109%2fICCRD.2011.5764243&partnerID=40&md5=99169a09d611fea581ff11b9151cf763","University of Computer Studies, Mandalay, Myanmar","Win, A.T., University of Computer Studies, Mandalay, Myanmar","In machine translation (MT), one of the main problems to handle is word reordering. This paper focuses to design and implement an effective machine translation system for Myanmar to English language. The framework of this paper is reordering approach for English sentence. We propose an approach to generate the target sentence by using reordering model that can be incorporated into the Statistical Machine Translation (SMTS). Myanmar sentence and English sentence are not semantic. In this paper, we present Myanmar to English translation system that is our ongoing research. Input process, tokenization, segmentation, translation and English sentence generation include in this system. In this paper, we describe about the English sentence generation. The aim of this paper is to reassemble the English word into proper sentence. The resulted raw sentence from translation process is reassembling to form the English sentence. Subject/verb agreement process, article checking process and tense adjustment process will also be performed according to the English grammar rules. The English sentence generation is proper for Myanmar to English translation system © 2011 IEEE.","Machine Translation System; NLP; Reordering Model","English languages; English sentences; English word; Grammar rules; Machine translation systems; Machine translations; Myanmars; NLP; Reordering Model; Statistical machine translation; Tokenization; Translation process; Translation systems; Word reordering; Information theory; Research; Semantics; Machine design",Conference Paper,"Final","",Scopus,2-s2.0-79957565178
"Erdmann M., Finch A., Nakayama K., Sumita E., Hara T., Nishio S.","55211307700;35725495800;13907279500;16040287500;7404213547;7202166990;","Calculating Wikipedia article similarity using machine translation evaluation metrics",2011,"Proceedings - 25th IEEE International Conference on Advanced Information Networking and Applications Workshops, WAINA 2011",,, 5763570,"620","625",,2,"10.1109/WAINA.2011.132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957547230&doi=10.1109%2fWAINA.2011.132&partnerID=40&md5=64d3a84a689ffb5d6a32eeef6a53ebe2","Department of Information Science and Technology, Osaka University, Japan; Knowledge Creating Communication Research Center, National Institute of Information and Communications Technology, Japan; Center for Knowledge Structuring, University of Tokyo, Japan","Erdmann, M., Department of Information Science and Technology, Osaka University, Japan; Finch, A., Knowledge Creating Communication Research Center, National Institute of Information and Communications Technology, Japan; Nakayama, K., Center for Knowledge Structuring, University of Tokyo, Japan; Sumita, E., Knowledge Creating Communication Research Center, National Institute of Information and Communications Technology, Japan; Hara, T., Department of Information Science and Technology, Osaka University, Japan; Nishio, S., Department of Information Science and Technology, Osaka University, Japan","Calculating the similarity of Wikipedia articles in different languages is helpful for bilingual dictionary construction and various other research areas. However, standard methods for document similarity calculation are usually very simple. Therefore, we describe an approach of translating one Wikipedia article into the language of the other article, and then calculating article similarity with standard machine translation evaluation metrics. An experiment revealed that our approach is effective for identifying Wikipedia articles in different languages that are covering the same concept. © 2011 IEEE.","Bilingual Dictionary Construction; Cross-language Document Similarity; Wikipedia Mining","Bilingual dictionary; Document similarity; Machine translation evaluations; Research areas; Standard machines; Standard method; Wikipedia; Information theory; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-79957547230
"Phillips A.B.","8580469000;","Cunei: Open-source machine translation with relevance-based models of each translation instance",2011,"Machine Translation","25","2",,"161","177",,6,"10.1007/s10590-011-9109-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054810801&doi=10.1007%2fs10590-011-9109-6&partnerID=40&md5=e45fa598067b92959a36d0883c5da5e7","Carnegie Mellon University, Pittsburgh, PA, United States","Phillips, A.B., Carnegie Mellon University, Pittsburgh, PA, United States","The Cunei machine translation platform is an open-source system for data-driven machine translation. Our platform is a synthesis of the traditional example-based MT (EBMT) and statistical MT (SMT) paradigms. What makes Cunei unique is that it measures the relevance of each translation instance with a distance function. This distance function, represented as a log-linear model, operates over one translation instance at a time and enables us to score the translation instance relative to the specified input and/or the current target hypothesis. We describe how our system, Cunei, scores features individually for each translation instance and how it efficiently performs parameter tuning over the entire feature space. We also compare Cunei with three other open-source MT systems (Moses, CMU-EBMT, and Marclator). In our experiments involving Korean-English and Czech-English translation Cunei clearly outperforms the traditional EBMT and SMT systems. © 2011 Springer Science+Business Media B.V.","Data-driven; EBMT; Machine translation; Open-source; SMT","Data-driven; Distance functions; EBMT; Feature space; Loglinear model; Machine translation; Machine translations; Open source system; Open-source; Parameter-tuning; SMT systems; Regression analysis; Information theory",Article,"Final","",Scopus,2-s2.0-80054810801
"Bond F., Oepen S., Nichols E., Flickinger D., Velldal E., Haugereid P.","7003275857;6507685928;56811817300;13806018800;49964845000;9841874000;","Deep open-source machine translation",2011,"Machine Translation","25","2",,"87","105",,4,"10.1007/s10590-011-9099-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054810289&doi=10.1007%2fs10590-011-9099-4&partnerID=40&md5=e57154b6a24194cb1d0458222c4feaa8","Division of Linguistics and Multilingual Studies, Nanyang Technological University, Singapore, Singapore; Department of Informatics, University of Oslo, Oslo, Norway; Graduate School of Information Sciences, Tohoku University, Sendai, Japan; Center for the Study of Language and Information, Stanford University, Stanford, CA, United States","Bond, F., Division of Linguistics and Multilingual Studies, Nanyang Technological University, Singapore, Singapore; Oepen, S., Department of Informatics, University of Oslo, Oslo, Norway; Nichols, E., Graduate School of Information Sciences, Tohoku University, Sendai, Japan; Flickinger, D., Center for the Study of Language and Information, Stanford University, Stanford, CA, United States; Velldal, E., Department of Informatics, University of Oslo, Oslo, Norway; Haugereid, P., Division of Linguistics and Multilingual Studies, Nanyang Technological University, Singapore, Singapore","This paper summarizes ongoing efforts to provide software infrastructure (and methodology) for open-source machine translation that combines a deep semantic transfer approach with advanced stochastic models. The resulting infrastructure combines precise grammars for parsing and generation, a semantic-transfer based translation engine and stochastic controllers. We provide both a qualitative and quantitative experience report from instantiating our general architecture for Japanese-English MT using only open-source components, including HPSG-based grammars of English and Japanese. © 2011 Springer Science+Business Media B.V.","HPSG; Machine translation; MRS; Open source; Semantic transfer","Experience report; HPSG; Machine translation; Machine translations; MRS; Open source; Open-source components; Software infrastructure; Translation engines; Semantics; Stochastic models; Stochastic systems; Information theory",Article,"Final","",Scopus,2-s2.0-80054810289
"Barreiro A., Scott B., Kasper W., Kiefer B.","25031388300;57198098314;24831800500;25028085000;","OpenLogos machine translation: Philosophy, model, resources and customization",2011,"Machine Translation","25","2",,"107","126",,13,"10.1007/s10590-011-9091-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054807681&doi=10.1007%2fs10590-011-9091-z&partnerID=40&md5=698f07d9abeb2468bafa5b5c4b1a62f4","CLUP, Rua do Campo Alegre, 1055, 4150-180 Porto, Portugal; Logos Institute, Tarpon Springs, FL, United States; DFKI GmbH, Stuhlsatzenhausweg 3, 66123 Saarbrücken, Germany","Barreiro, A., CLUP, Rua do Campo Alegre, 1055, 4150-180 Porto, Portugal, Logos Institute, Tarpon Springs, FL, United States; Scott, B., Logos Institute, Tarpon Springs, FL, United States; Kasper, W., DFKI GmbH, Stuhlsatzenhausweg 3, 66123 Saarbrücken, Germany; Kiefer, B., DFKI GmbH, Stuhlsatzenhausweg 3, 66123 Saarbrücken, Germany","This paper reviews the OpenLogos rule-based machine translation system, and describes its model architecture as an incremental pipeline process. The paper also describes OpenLogos resources and their customization to specific application domains. One of the key aspects of rule-based machine translation systems intelligence is the symbology employed by these systems in representing natural language internally. The paper offers details about the OpenLogos semantico-syntactic abstract representation language known as SAL. The paper also shows how OpenLogos has addressed classic problems of rule-based machine translation, such as the cognitive complexity and ambiguity encountered in natural language processing, illustrating how SAL helps overcome them in ways distinct from other existing rule-based machine translation systems. The paper illustrates how the intelligence inherent in SAL contributes to translation quality, presenting examples of OpenLogos output of a kind that non-linguistic systems would likely have difficulty emulating. The paper shows the unique manner in which OpenLogos applies the rulebase to the input stream and the kind of results produced that are characteristic of the OpenLogos output. Finally, the paper dealswith an important advantage of rule-based machine translation systems, namely, the customization and adaption to application-specific needs with respect to their special terminology and transfer requirements. OpenLogos offers users a set of comfortable customization tools that do not require special knowledge of the system internals. An overview of the possibilities that these tools provide will be presented. © 2011 Springer Science+Business Media B.V.","Linguistic knowledge system; Machine translation system; Open source; OpenLogos; Rule-based machine translation; SAL representation language; Semantico-syntactic abstract language","Abstract languages; Linguistic knowledge; Machine translation systems; Open sources; OpenLogos; Representation languages; Rule based; Abstracting; Cognitive systems; Computational linguistics; Computer hardware description languages; Content based retrieval; Information theory; Natural language processing systems; Open systems; Syntactics; Translation (languages)",Review,"Final","",Scopus,2-s2.0-80054807681
"Brown R.D.","7406357692;","The CMU-EBMT machine translation system",2011,"Machine Translation","25","2",,"179","195",,4,"10.1007/s10590-011-9095-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054802453&doi=10.1007%2fs10590-011-9095-8&partnerID=40&md5=c316db8574548c7e771e97acd2188bc9","Carnegie Mellon University, Language Technologies Institute, Pittsburgh, PA 15213, United States","Brown, R.D., Carnegie Mellon University, Language Technologies Institute, Pittsburgh, PA 15213, United States","This paper presents an in-depth description of the features of the open-source CMU-EBMT example-based machine translation system. CMU-EBMT is a complete end-to-end system including lexicon induction, word and phrase alignment, corpus indexing and lookup, language model, decoder, and parameter tuning components. While it does not require them, it can take advantage of external alignment information and other annotations provided by GIZA++ and other systems. To illustrate a recent addition to CMU-EBMT, experiments are presented which show an improvement of 0.16 BLEU points (0.9% relative) on a cross-validated small-data English-Haitian translation task when using a new set of fine-grained log-linear feature values representing language model match lengths in addition to language model probabilities. © 2011 Springer Science+Business Media B.V.","Example-based machine translation; Open source software; Parameter tuning","End-to-end systems; Example-based machine translation; Language model; Lookups; Machine translation systems; Open Source Software; Open-source; Parameter-tuning; Alignment; Computational linguistics; Information theory; Open systems; Translation (languages)",Article,"Final","",Scopus,2-s2.0-80054802453
"Hu C., Bederson B.B., Resnik P., Kronrod Y.","55034919300;7004004753;6602712741;39361862000;","MonoTrans2: A new human computation system to support monolingual translation",2011,"Conference on Human Factors in Computing Systems - Proceedings",,,,"1133","1136",,22,"10.1145/1978942.1979111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958125594&doi=10.1145%2f1978942.1979111&partnerID=40&md5=13c15b0711a11a7193b6f4971b195a0e","Computer Science Department, University of Maryland, United States; Human-Computer Interaction Lab., University of Maryland, United States; Institute for Advanced Computer Studies, University of Maryland, United States; Department of Linguistics, University of Maryland, United States","Hu, C., Computer Science Department, University of Maryland, United States, Human-Computer Interaction Lab., University of Maryland, United States, Institute for Advanced Computer Studies, University of Maryland, United States; Bederson, B.B., Computer Science Department, University of Maryland, United States, Human-Computer Interaction Lab., University of Maryland, United States, Institute for Advanced Computer Studies, University of Maryland, United States; Resnik, P., Computer Science Department, University of Maryland, United States, Institute for Advanced Computer Studies, University of Maryland, United States, Department of Linguistics, University of Maryland, United States; Kronrod, Y., Institute for Advanced Computer Studies, University of Maryland, United States, Department of Linguistics, University of Maryland, United States","In this paper, we present MonoTrans2, a new user interface to support monolingual translation; that is, translation by people who speak only the source or target language, but not both. Compared to previous systems, MonoTrans2 supports multiple edits in parallel, and shorter tasks with less translation context. In an experiment translating children's books, we show that MonoTrans2 is able to substantially close the gap between machine translation and human bilingual translations. The percentage of sentences rated 5 out of 5 for fluency and adequacy by both bilingual evaluators in our study increased from 10% for Google Translate output to 68% for MonoTrans2. Copyright 2011 ACM.","Crowd-sourcing; Distributed human computation; Human computation; Machine translation; Monolingual; Translation; Translation interface; Wisdom of crowds","Crowd-sourcing; Human computation; Machine translation; Monolingual; Wisdom of crowds; Human engineering; Information theory; User interfaces; Human computer interaction",Conference Paper,"Final","",Scopus,2-s2.0-79958125594
"Ootsu K., Shiroto T., Yokota T., Baba T.","6701762497;56617836900;55604487000;7402064009;","Handling of inter-thread memory access dependencies for automatic binary-code parallelization",2011,"Proceedings of the 10th IASTED International Conference on Parallel and Distributed Computing and Networks, PDCN 2011",,,,"107","114",,,"10.2316/P.2011.719-061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958085440&doi=10.2316%2fP.2011.719-061&partnerID=40&md5=e4a64c3b931ba572dd16ce3185cc0a0f","Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Utsunomiya, Tochigi, 321-8585, Japan","Ootsu, K., Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Utsunomiya, Tochigi, 321-8585, Japan; Shiroto, T., Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Utsunomiya, Tochigi, 321-8585, Japan; Yokota, T., Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Utsunomiya, Tochigi, 321-8585, Japan; Baba, T., Graduate School of Engineering, Utsunomiya University, 7-1-2 Yoto, Utsunomiya, Tochigi, 321-8585, Japan","Now the multi-core processors are widely available everywhere, and the speedup with thread-level parallelization of sequential programs becomes quite important. In general, thread-level parallelization are performed using the source code of the target program, but the source code are not always available. In order to realize the parallelization of existing sequential programs without need of the source codes, we have developed the software system that can automatically parallelize the executable binary codes of the programs at thread level, with binary translation. For thread-level parallelization, it is necessary to correctly analyze the data dependencies of variables between threads. However, since the memory accesses for the reference of variables are performed by specifying the target addresses using the registers and the values of the registers are generally unknown until execution, it is not easy to identify the variables located on memory and to examine the data dependencies. This paper discusses the analysis for the data dependencies of variables located on memory and the thread-level parallel processing based on the analysis results, in our automatic thread-level parallelization system by binary translation. The binary-level variable analysis statically analyzes and identifies the variables on memory in order to examine the data dependencies between threads. This is the method for identifying the variable by comparing the calculation trees that represent the target addresses of variables. And the runtime inspection of memory access dependencies hardware guarantees the correct parallel execution for the parallelized binary code containing data dependencies that cannot statically determined.","Automatic parallelization; Binary translation; Memory access analysis; Speculative multithreading","Analysis results; Automatic Parallelization; Binary translation; Data dependencies; Memory access; Memory access analysis; Multi-core processor; Parallel executions; Parallel processing; Parallelizations; Runtimes; Sequential programs; Software systems; Source codes; Speculative multithreading; Variable analysis; Binary codes; Multitasking; Program translators; Multicore programming",Conference Paper,"Final","",Scopus,2-s2.0-79958085440
"Joshi N., Mathur I., Mathur S.","36052866600;36053283400;56159577500;","Translation memory for indian languages: An aid for human translators",2011,"International Conference and Workshop on Emerging Trends in Technology 2011, ICWET 2011 - Conference Proceedings",,,,"711","714",,10,"10.1145/1980022.1980175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958764157&doi=10.1145%2f1980022.1980175&partnerID=40&md5=79694956c874db0feee0eac717ef0220","Department of Computer Science, Apaji Institute, Banasthali University, India; Department of Computer Engineering, Thakur College of Engineering and Technology, Mumbai, India","Joshi, N., Department of Computer Science, Apaji Institute, Banasthali University, India; Mathur, I., Department of Computer Science, Apaji Institute, Banasthali University, India; Mathur, S., Department of Computer Engineering, Thakur College of Engineering and Technology, Mumbai, India","Translation of a text in one's local language can be very time consuming. Same text which needs to be translated, appears several times. This is very taxing for the translator, as she has to provide repetitive translations for same text. This paper shows the design of a translation tool which provided automatic translations for completely or partially reappearing text. This makes the task of the translator much easier, as she has to concentrate only on the text with no similarities. Copyright © 2011 ACM.","Computer aided human translation; Example based machine translation; Parallel corpus; Translation memory","Automatic translation; Computer aided human translation; Example based machine translation; Indian languages; Local language; Parallel corpora; Translation memories; Translation memory; Translation tools; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-79958764157
"Bahadur P., Jain A., Chauhan D.S.","39860950100;7404464033;55746702600;","English to Sanskrit machine translation",2011,"International Conference and Workshop on Emerging Trends in Technology 2011, ICWET 2011 - Conference Proceedings",,,,"641","645",,3,"10.1145/1980022.1980161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958704185&doi=10.1145%2f1980022.1980161&partnerID=40&md5=297d308dec1ed484facc67ac484a1932","ASET-IT, Amity University, Noida, U.P., India; Department of Computer Science and Engineering, IIT-Kanpur, U. P., India; Uttrakhand Technical University, Uttranchal, India","Bahadur, P., ASET-IT, Amity University, Noida, U.P., India; Jain, A., Department of Computer Science and Engineering, IIT-Kanpur, U. P., India; Chauhan, D.S., Uttrakhand Technical University, Uttranchal, India","Machine Translation is one of the most challenging tasks in natural language processing. Statistical machine translation (SMT) looks into the translation of natural language as a machine learning problem. Since, the advent of globalization need for cross language translator has increased. English has emerged as most popular language on World Wide Web. The developing regions still strive to access the information in local languages. Translation of English into local languages can make information flow easier. This paper is on undergoing research for design and development of a cross language system from English to Sanskrit to make the same convenient. Copyright © 2011 ACM.","Analysis; Interlingua; Language divergence; Machine translation; Sanskrit; Translation theory","Analysis; Interlingua; Language divergence; Machine translations; Sanskrit; Computational linguistics; Information theory; Learning algorithms; Natural language processing systems; User interfaces; World Wide Web; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-79958704185
"Jochim C., Lioma C., Schütze H.","36666513800;55901339300;7003432991;","Expanding queries with term and phrase translations in patent retrieval",2011,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6653 LNCS",,,"16","29",,5,"10.1007/978-3-642-21353-3_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959259623&doi=10.1007%2f978-3-642-21353-3_3&partnerID=40&md5=4897dd601bcb8f8e77f0c966ece5f57d","Institute for Natural Language Processing, Computer Science, Stuttgart University, 70174 Stuttgart, Germany","Jochim, C., Institute for Natural Language Processing, Computer Science, Stuttgart University, 70174 Stuttgart, Germany; Lioma, C., Institute for Natural Language Processing, Computer Science, Stuttgart University, 70174 Stuttgart, Germany; Schütze, H., Institute for Natural Language Processing, Computer Science, Stuttgart University, 70174 Stuttgart, Germany","Patent retrieval is a branch of Information Retrieval (IR) that aims to enable the challenging task of retrieving highly technical and often complicated patents. Typically, patent granting bodies translate patents into several major foreign languages, so that language boundaries do not hinder their accessibility. Given such multilingual patent collections, we posit that the patent translations can be exploited for facilitating patent retrieval. Specifically, we focus on the translation of patent queries from German and French, the morphology of which poses an extra challenge to retrieval. We compare two translation approaches that expand the query with (i) translated terms and (ii) translated phrases. Experimental evaluation on a standard CLEF-IP European Patent Office dataset reveals a novel finding: phrase translation may be more suited to French, and term translation may be more suited to German. We trace this finding to language morphology, and we conclude that tailoring the query translation per language can lead to improved results in patent retrieval. © 2011 Springer-Verlag.","cross-language information retrieval; patent retrieval; query expansion; query translation; relevance feedback; statistical machine translation","Cross language information retrieval; Patent retrieval; Query expansion; Query translations; Relevance feedback; Statistical machine translation; Cross language information retrieval; Patent retrieval; Query expansion; Query translations; Relevance feedback; Statistical machine translation; Computational linguistics; Feedback; Information retrieval; Morphology; Patents and inventions; Translation (languages); Computational linguistics; Computer aided language translation; Information retrieval; Linguistics; Patents and inventions; Translation (languages); Search engines; Search engines",Conference Paper,"Final","",Scopus,2-s2.0-79959259623
"Honkela T., Laaksonen J., Törrö H., Tenhunen J.","6602428425;56253107200;42361788000;42361779900;","Media Map: A multilingual document map with a design interface",2011,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6731 LNCS",,,"247","256",,4,"10.1007/978-3-642-21566-7_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959306733&doi=10.1007%2f978-3-642-21566-7_25&partnerID=40&md5=dd0850d22bb552bec76a875fc4afec90","Aalto University School of Science, Department of Information and Computer Science, P.O. Box 15400, FI-00076 Aalto, Finland; Aalto University School of Art and Design, Department of Media, P.O. Box 31000, FI-00076 Aalto, Finland","Honkela, T., Aalto University School of Science, Department of Information and Computer Science, P.O. Box 15400, FI-00076 Aalto, Finland; Laaksonen, J., Aalto University School of Science, Department of Information and Computer Science, P.O. Box 15400, FI-00076 Aalto, Finland; Törrö, H., Aalto University School of Art and Design, Department of Media, P.O. Box 31000, FI-00076 Aalto, Finland; Tenhunen, J., Aalto University School of Art and Design, Department of Media, P.O. Box 31000, FI-00076 Aalto, Finland","We present a selection of results produced in a project called Media Map. The project aims at developing an intuitive user interface to a library information system containing data on projects and publications. The user interface is a two-dimensional visual display created with the Self-Organizing Map algorithm. The map has been computed using the hierarchical self-organizing map, and a specific graphical design supports the visualization and use of the map interface. In the design, there are specific iconic representations for the projects, publications and persons displayed on the map. The novel aspects in this WEBSOM-type of document map are that the texts on the map are written in different languages, and there are different types of textual objects mapped on the same map. The interlingual mapping is based on applying machine translation on non-English documents. Even when the translation is not fully correct, the approach works well when large enough proportion of relevant terminology has become translated. © 2011 Springer-Verlag Berlin Heidelberg.","library information system; machine translation; person map; PicSOM; project map; publication map; Self-Organizing Map; text mining; WEBSOM","Library information systems; Machine translations; person map; PicSOM; project map; publication map; Self organizing; Text mining; WEBSOM; Library information systems; Machine translations; PicSOM; Text mining; WEBSOM; Conformal mapping; Information systems; Information theory; Publishing; User interfaces; Visualization; Computational linguistics; Computer aided language translation; Conformal mapping; Data mining; Information systems; User interfaces; Design; Self organizing maps",Conference Paper,"Final","",Scopus,2-s2.0-79959306733
"Zhang C.-X., Gao X.-Y., Liu K., Lu Z.-M., Sun D.-S., Lv H.L., Liu Y.","57003949100;26039056800;55729578400;23060461600;26421485500;57203208190;56385481700;","A manually-editing tool of translation templates based on automatic evaluation",2011,"Information Technology Journal","10","7",,"1457","1461",,,"10.3923/itj.2011.1457.1461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959542267&doi=10.3923%2fitj.2011.1457.1461&partnerID=40&md5=605db6e306b5942202f9f78b34b39c00","School of Software, Harbin University of Science and Technology, Harbin 150080, China; College of Computer Science and Technology, Harbin University of Science and Technology, Harbin 150080, China; Material Accommodation Center of Petrochina, Da Qing Petrochemical Company, Daqing 163714, China; College of Information and Communication Engineering, Harbin Engineering University, Harbin 150001, China; Computer Center, Harbin University of Science and Technology, Harbin 150080, China; Da Qing Chemical Research Center of Petrochina, Petrochemical Research Institute, Daqing 163714, China; School of Computer Science and Technology, Heilongjiang University, Harbin 150080, China","Zhang, C.-X., School of Software, Harbin University of Science and Technology, Harbin 150080, China; Gao, X.-Y., College of Computer Science and Technology, Harbin University of Science and Technology, Harbin 150080, China; Liu, K., Material Accommodation Center of Petrochina, Da Qing Petrochemical Company, Daqing 163714, China; Lu, Z.-M., College of Information and Communication Engineering, Harbin Engineering University, Harbin 150001, China; Sun, D.-S., Computer Center, Harbin University of Science and Technology, Harbin 150080, China; Lv, H.L., Da Qing Chemical Research Center of Petrochina, Petrochemical Research Institute, Daqing 163714, China; Liu, Y., School of Computer Science and Technology, Heilongjiang University, Harbin 150080, China","Translation templates were very important translation knowledge in transfer-based MT system. They could be learned automatically from bilingual corpus and were written manually by MT knowledge engineers. But there were lots of noises in template base which would decrease the translation quality. This paper presented a manually-editing tool that provided edition functions including automatic evaluation of templates, edition of templates, insertion of templates and deletion of templates. In this tool, MT knowledge engineers could check and edit translation templates according to automatic evaluation scores. This tool aimed at helping to optimize template base in MT system which would eliminate the conflicts between translation templates and the errors in translation templates. Experimental results indicated that after MT knowledge engineers edited translation templates in this tool, translation assessment score of open test corpus improved 3.85% under 3 g bleu metric. © 2011 Asian Network for Scientific Information.","MT knowledge engineers; MT system; Translation assessment score; Translation quality; Translation templates","Automatic evaluation; Bilingual corpora; Knowledge Engineers; MT system; Test corpus; Translation knowledge; Translation quality; Translation templates; Engineers",Article,"Final","",Scopus,2-s2.0-79959542267
"Unat D., Cai X., Baden S.B.","27868216500;7401847836;7004013727;","Mint: Realizing CUDA performance in 3D stencil methods with annotated C",2011,"Proceedings of the International Conference on Supercomputing",,,,"214","224",,103,"10.1145/1995896.1995932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959601133&doi=10.1145%2f1995896.1995932&partnerID=40&md5=71bdedd54e683f6aa13003cb2212216d","Dept. of Computer Science and Engineering, Univ. of California, San Diego, San Diego, CA, United States; Simula Research Laboratory, Department of Informatics, University of Oslo, Norway","Unat, D., Dept. of Computer Science and Engineering, Univ. of California, San Diego, San Diego, CA, United States; Cai, X., Simula Research Laboratory, Department of Informatics, University of Oslo, Norway; Baden, S.B., Dept. of Computer Science and Engineering, Univ. of California, San Diego, San Diego, CA, United States","We present Mint, a programming model that enables the non-expert to enjoy the performance benefits of hand coded CUDA without becoming entangled in the details. Mint targets stencil methods, which are an important class of scientific applications. We have implemented the Mint programming model with a source-to-source translator that generates optimized CUDA C from traditional C source. The translator relies on annotations to guide translation at a high level. The set of pragmas is small, and the model is compact and simple. Yet, Mint is able to deliver performance competitive with painstakingly hand-optimized CUDA. We show that, for a set of widely used stencil kernels, Mint realized 80% of the performance obtained from aggressively optimized CUDA on the 200 series NVIDIA GPUs. Our optimizations target three dimensional kernels, which present a daunting array of optimizations. © 2011 ACM.","automatic translation and optimization; cuda; parallel programming model; stencil computation","automatic translation and optimization; cuda; parallel programming model; Performance benefits; Pragmas; Programming models; Scientific applications; Source-to-source translators; Stencil computations; C (programming language); Optimization; Parallel programming; Program translators; Three dimensional; Mints",Conference Paper,"Final","",Scopus,2-s2.0-79959601133
