Item Title,Item DOI,Publication Year,URL,Content Type,Source
Cross-Language Ontology Alignment Utilizing Machine Translation Models,10.1007/978-3-319-03437-9_9,2013,http://link.springer.com/chapter/10.1007/978-3-319-03437-9_9,Chapter,Springer
Combination Methods for Improving the Reliability of Machine Translation Based Cross-Language Information Retrieval,10.1007/3-540-45750-X_25,2002,http://link.springer.com/chapter/10.1007/3-540-45750-X_25,Chapter,Springer
An Open Machine Translation System for Augmentative and Alternative Communication,10.1007/3-540-45491-8_135,2002,http://link.springer.com/chapter/10.1007/3-540-45491-8_135,Chapter,Springer
Current research in Machine Translation: A reply to Somers,10.1007/BF00398471,1992,http://link.springer.com/article/10.1007/BF00398471,Article,Springer
A Dependency-Inspired Semantic Evaluation of Machine Translation Systems,10.1007/978-3-642-40802-1_8,2013,http://link.springer.com/chapter/10.1007/978-3-642-40802-1_8,Chapter,Springer
Document-Level Machine Translation Evaluation Metrics Enhanced with Simplified Lexical Chain,10.1007/978-3-319-25207-0_35,2015,http://link.springer.com/chapter/10.1007/978-3-319-25207-0_35,Chapter,Springer
Time-Constrained Machine Translation,10.1007/3-540-49478-2_10,1998,http://link.springer.com/chapter/10.1007/3-540-49478-2_10,Chapter,Springer
A POS-Based Preordering Approach for English-to-Arabic Statistical Machine Translation,10.1007/978-3-319-73500-9_3,2018,http://link.springer.com/chapter/10.1007/978-3-319-73500-9_3,Chapter,Springer
Learning Rules to Improve a Machine Translation System,10.1007/978-3-540-39857-8_20,2003,http://link.springer.com/chapter/10.1007/978-3-540-39857-8_20,Chapter,Springer
An Improved Method of Applying a Machine Translation Model to a Chinese Word Segmentation Task,10.1007/978-3-030-30490-4_5,2019,http://link.springer.com/chapter/10.1007/978-3-030-30490-4_5,Chapter,Springer
Medical Data Machine Translation Evaluation Based on Dependency N-Grams,10.1007/978-3-319-59858-1_17,2017,http://link.springer.com/chapter/10.1007/978-3-319-59858-1_17,Chapter,Springer
Context Sensitive Word Deletion Model for Statistical Machine Translation,10.1007/978-3-319-69005-6_7,2017,http://link.springer.com/chapter/10.1007/978-3-319-69005-6_7,Chapter,Springer
Applying Link Grammar Formalism in the Development of English-Indonesian Machine Translation System,10.1007/978-3-540-85110-3_3,2008,http://link.springer.com/chapter/10.1007/978-3-540-85110-3_3,Chapter,Springer
Lost in Translation: Viability of Machine Translation for Cross Language Sentiment Analysis,10.1007/978-3-642-37256-8_4,2013,http://link.springer.com/chapter/10.1007/978-3-642-37256-8_4,Chapter,Springer
Modeling Indicative Context for Statistical Machine Translation,10.1007/978-3-319-73618-1_19,2018,http://link.springer.com/chapter/10.1007/978-3-319-73618-1_19,Chapter,Springer
Stylistics and computing: Machine translation as a tool for a new approach to stylistics,10.1007/BF00936421,1986,http://link.springer.com/article/10.1007/BF00936421,Article,Springer
Parallel Corpora for WordNet Construction: Machine Translation vs. Automatic Sense Tagging,10.1007/978-3-642-28601-8_10,2012,http://link.springer.com/chapter/10.1007/978-3-642-28601-8_10,Chapter,Springer
Evaluation of Neural Machine Translation for Highly Inflected and Small Languages,10.1007/978-3-319-77116-8_33,2018,http://link.springer.com/chapter/10.1007/978-3-319-77116-8_33,Chapter,Springer
Controlling Formality and Style of Machine Translation Output Using AutoML,10.1007/978-3-030-46140-9_29,2020,http://link.springer.com/chapter/10.1007/978-3-030-46140-9_29,Chapter,Springer
Paraphrase Detection Using Machine Translation and Textual Similarity Algorithms,10.1007/978-3-319-71746-3_22,2018,http://link.springer.com/chapter/10.1007/978-3-319-71746-3_22,Chapter,Springer
"Joseph Olive, Caitlin Christianson, John McCary (eds.): Handbook of Natural Language Processing and Machine Translation",10.1007/s10590-012-9128-y,2013,http://link.springer.com/article/10.1007/s10590-012-9128-y,Article,Springer
Phrase Chunking for Efficient Parsing in Machine Translation System,10.1007/978-3-540-24694-7_49,2004,http://link.springer.com/chapter/10.1007/978-3-540-24694-7_49,Chapter,Springer
Bayes Decision Rules and Confidence Measures for Statistical Machine Translation,10.1007/978-3-540-30228-5_7,2004,http://link.springer.com/chapter/10.1007/978-3-540-30228-5_7,Chapter,Springer
Chan Sin-Wai (ed): The human factor in machine translation,10.1007/s10590-019-09240-x,2019,http://link.springer.com/article/10.1007/s10590-019-09240-x,Article,Springer
Producers-users-customers: Towards a differentiated evaluation of research in Machine Translation,10.1007/BF00398473,1992,http://link.springer.com/article/10.1007/BF00398473,Article,Springer
A chart generator for Shake and Bake machine translation,10.1007/3-540-61291-2_44,1996,http://link.springer.com/chapter/10.1007/3-540-61291-2_44,Chapter,Springer
Analysis and evaluation on the quality of news text machine translation based on neural network,10.1007/s11042-019-7532-5,2020,http://link.springer.com/article/10.1007/s11042-019-7532-5,Article,Springer
Improved Neural Machine Translation with POS-Tagging Through Joint Decoding,10.1007/978-3-030-22968-9_14,2019,http://link.springer.com/chapter/10.1007/978-3-030-22968-9_14,Chapter,Springer
Pivot Machine Translation Using Chinese as Pivot Language,10.1007/978-981-13-3083-4_7,2019,http://link.springer.com/chapter/10.1007/978-981-13-3083-4_7,Chapter,Springer
Using TectoMT as a Preprocessing Tool for Phrase-Based Statistical Machine Translation,10.1007/978-3-642-15760-8_28,2010,http://link.springer.com/chapter/10.1007/978-3-642-15760-8_28,Chapter,Springer
Attention-Based English to Mizo Neural Machine Translation,10.1007/978-981-15-6318-8_17,2020,http://link.springer.com/chapter/10.1007/978-981-15-6318-8_17,Chapter,Springer
Analysis of Factors that Affect the Understanding of Plain Japanese Sentence and Machine-Translated Sentence to Facilitate Cross-culture System Design,10.1007/978-3-319-07854-0_104,2014,http://link.springer.com/chapter/10.1007/978-3-319-07854-0_104,Chapter,Springer
Handling Many-To-One UNK Translation for Neural Machine Translation,10.1007/978-981-10-7134-8_10,2017,http://link.springer.com/chapter/10.1007/978-981-10-7134-8_10,Chapter,Springer
Applying CNL Authoring Support to Improve Machine Translation of Forum Data,10.1007/978-3-642-32612-7_1,2012,http://link.springer.com/chapter/10.1007/978-3-642-32612-7_1,Chapter,Springer
Using Alignment Templates to Infer Shallow-Transfer Machine Translation Rules,10.1007/11816508_75,2006,http://link.springer.com/chapter/10.1007/11816508_75,Chapter,Springer
Coarse-To-Fine Learning for Neural Machine Translation,10.1007/978-3-319-99495-6_27,2018,http://link.springer.com/chapter/10.1007/978-3-319-99495-6_27,Chapter,Springer
Classifying Commas for Patent Machine Translation,10.1007/978-981-10-3635-4_8,2016,http://link.springer.com/chapter/10.1007/978-981-10-3635-4_8,Chapter,Springer
Speeding Up Target-Language Driven Part-of-Speech Tagger Training for Machine Translation,10.1007/11925231_81,2006,http://link.springer.com/chapter/10.1007/11925231_81,Chapter,Springer
Combined Methodology Based on Kernel Regression and Kernel Density Estimation for Sign Language Machine Translation,10.1007/978-3-319-12436-0_42,2014,http://link.springer.com/chapter/10.1007/978-3-319-12436-0_42,Chapter,Springer
Multi-reward Based Reinforcement Learning for Neural Machine Translation,10.1007/978-3-030-63031-7_16,2020,http://link.springer.com/chapter/10.1007/978-3-030-63031-7_16,Chapter,Springer
Introducing Additional Input Information into Interactive Machine Translation Systems,10.1007/978-3-540-85853-9_26,2008,http://link.springer.com/chapter/10.1007/978-3-540-85853-9_26,Chapter,Springer
An Assessment of Machine Translation for Vehicle Assembly Process Planning at Ford Motor Company,10.1007/3-540-45820-4_21,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_21,Chapter,Springer
Design of Text and Voice Machine Translation Tool for Presentations,10.1007/978-981-16-1685-3_11,2021,http://link.springer.com/chapter/10.1007/978-981-16-1685-3_11,Chapter,Springer
Interactive/Personal Machine Translation,10.1007/978-1-4757-1885-0_9,1986,http://link.springer.com/chapter/10.1007/978-1-4757-1885-0_9,Chapter,Springer
Optimizing Non-Decomposable Evaluation Metrics for Neural Machine Translation,10.1007/s11390-017-1760-9,2017,http://link.springer.com/article/10.1007/s11390-017-1760-9,Article,Springer
Adapting Attention-Based Neural Network to Low-Resource Mongolian-Chinese Machine Translation,10.1007/978-3-319-50496-4_39,2016,http://link.springer.com/chapter/10.1007/978-3-319-50496-4_39,Chapter,Springer
Computing Transfer Score in Example-Based Machine Translation,10.1007/978-3-642-12116-6_34,2010,http://link.springer.com/chapter/10.1007/978-3-642-12116-6_34,Chapter,Springer
Integrating Specialized Bilingual Lexicons of Multiword Expressions for Domain Adaptation in Statistical Machine Translation,10.1007/978-981-10-8438-6_9,2018,http://link.springer.com/chapter/10.1007/978-981-10-8438-6_9,Chapter,Springer
Combining Invertible Example-Based Machine Translation with Translation Memory Technology,10.1007/3-540-39965-8_13,2000,http://link.springer.com/chapter/10.1007/3-540-39965-8_13,Chapter,Springer
Acquiring and updating hierarchical knowledge for machine translation based on a clustering technique,10.1007/3-540-60925-3_57,1996,http://link.springer.com/chapter/10.1007/3-540-60925-3_57,Chapter,Springer
Similar Sentence Retrieval for Machine Translation Based on Word-Aligned Bilingual Corpus,10.1007/978-3-540-68636-1_67,2008,http://link.springer.com/chapter/10.1007/978-3-540-68636-1_67,Chapter,Springer
Text-to-text machine translation using the RECONTRA connectionist model,10.1007/BFb0100536,1999,http://link.springer.com/chapter/10.1007/BFb0100536,Chapter,Springer
Neural Name Translation Improves Neural Machine Translation,10.1007/978-981-13-3083-4_9,2019,http://link.springer.com/chapter/10.1007/978-981-13-3083-4_9,Chapter,Springer
Design of a Morphological Generator for an English to Indian Languages in a Declension Rule-Based Machine Translation System,10.1007/978-981-15-5558-9_24,2020,http://link.springer.com/chapter/10.1007/978-981-15-5558-9_24,Chapter,Springer
Computational Representation of Paninian Rules of Sanskrit Grammar for Dictionary-Independent Machine Translation,10.1007/978-981-13-9942-8_65,2019,http://link.springer.com/chapter/10.1007/978-981-13-9942-8_65,Chapter,Springer
Improving Chinese-English Neural Machine Translation with Detected Usages of Function Words,10.1007/978-3-319-73618-1_64,2018,http://link.springer.com/chapter/10.1007/978-3-319-73618-1_64,Chapter,Springer
Token reference vs. type reference: Implications for machine translation,10.1007/BF00397281,1991,http://link.springer.com/article/10.1007/BF00397281,Article,Springer
Neural Machine Translation with Phrasal Attention,10.1007/978-981-10-7134-8_1,2017,http://link.springer.com/chapter/10.1007/978-981-10-7134-8_1,Chapter,Springer
Youdao’s Winning Solution to the NLPCC-2018 Task 2 Challenge: A Neural Machine Translation Approach to Chinese Grammatical Error Correction,10.1007/978-3-319-99495-6_29,2018,http://link.springer.com/chapter/10.1007/978-3-319-99495-6_29,Chapter,Springer
Making Machine Translations Polite: The Problematic Speech Acts,10.1007/978-3-642-19403-0_29,2011,http://link.springer.com/chapter/10.1007/978-3-642-19403-0_29,Chapter,Springer
Domain Adaptation of Statistical Machine Translation Models with Monolingual Data for Cross Lingual Information Retrieval,10.1007/978-3-642-36973-5_80,2013,http://link.springer.com/chapter/10.1007/978-3-642-36973-5_80,Chapter,Springer
Neural Machine Translation for Financial Listing Documents,10.1007/978-3-030-04221-9_21,2018,http://link.springer.com/chapter/10.1007/978-3-030-04221-9_21,Chapter,Springer
Constructing Uyghur Named Entity Recognition System Using Neural Machine Translation Tag Projection,10.1007/978-3-030-63031-7_18,2020,http://link.springer.com/chapter/10.1007/978-3-030-63031-7_18,Chapter,Springer
"Evaluation of Improved Components of AMIS Project for Speech Recognition, Machine Translation and Video/Audio/Text Summarization",10.1007/978-3-030-59000-0_24,2020,http://link.springer.com/chapter/10.1007/978-3-030-59000-0_24,Chapter,Springer
Semantic Model of Possessive Pronouns Machine Translation for English to Bulgarian Language,10.1007/978-3-319-26138-6_38,2015,http://link.springer.com/chapter/10.1007/978-3-319-26138-6_38,Chapter,Springer
Quality of Thai to English Machine Translation,10.1007/978-3-319-42706-5_20,2016,http://link.springer.com/chapter/10.1007/978-3-319-42706-5_20,Chapter,Springer
Intercultural Collaboration Support System Using Disaster Safety Map and Machine Translation,10.1007/978-3-642-17184-0_8,2010,http://link.springer.com/chapter/10.1007/978-3-642-17184-0_8,Chapter,Springer
English-Vietnamese Machine Translation of Proper Names,10.1007/978-3-642-32790-2_47,2012,http://link.springer.com/chapter/10.1007/978-3-642-32790-2_47,Chapter,Springer
Making the Most of Synthetic Parallel Texts: Portuguese-Chinese Neural Machine Translation Enhanced with Back-Translation,10.1007/978-3-030-41505-1_12,2020,http://link.springer.com/chapter/10.1007/978-3-030-41505-1_12,Chapter,Springer
Cross Aggregation of Multi-head Attention for Neural Machine Translation,10.1007/978-3-030-32233-5_30,2019,http://link.springer.com/chapter/10.1007/978-3-030-32233-5_30,Chapter,Springer
TransEasy: A Chinese-English Machine Translation System Based on Hybrid Approach,10.1007/3-540-49478-2_49,1998,http://link.springer.com/chapter/10.1007/3-540-49478-2_49,Chapter,Springer
The Meteor metric for automatic evaluation of machine translation,10.1007/s10590-009-9059-4,2009,http://link.springer.com/article/10.1007/s10590-009-9059-4,Article,Springer
Improving Neural Machine Translation Model with Deep Encoding Information,10.1007/s12559-021-09860-7,2021,http://link.springer.com/article/10.1007/s12559-021-09860-7,Article,Springer
Syntax Augmented Inversion Transduction Grammars for Machine Translation,10.1007/978-3-642-12116-6_36,2010,http://link.springer.com/chapter/10.1007/978-3-642-12116-6_36,Chapter,Springer
An English-Japanese machine translation system using the active dictionary,10.1007/BF03037424,1983,http://link.springer.com/article/10.1007/BF03037424,Article,Springer
Detailed Description of the Development of a MOOC in the Topic of Statistical Machine Translation,10.1007/978-3-319-13647-9_10,2014,http://link.springer.com/chapter/10.1007/978-3-319-13647-9_10,Chapter,Springer
Human Evaluation of Online Machine Translation Services for English/Russian-Croatian,10.1007/978-3-319-16486-1_108,2015,http://link.springer.com/chapter/10.1007/978-3-319-16486-1_108,Chapter,Springer
Grammatical Error Correction for Vietnamese Using Machine Translation,10.1007/978-981-15-6168-9_41,2020,http://link.springer.com/chapter/10.1007/978-981-15-6168-9_41,Chapter,Springer
Part-of-Speech Tagging Based on Machine Translation Techniques,10.1007/978-3-540-72847-4_34,2007,http://link.springer.com/chapter/10.1007/978-3-540-72847-4_34,Chapter,Springer
An Approach to Spanish Subjunctive Mood in Japanese to Spanish Machine Translation,10.1007/978-3-540-76928-6_86,2007,http://link.springer.com/chapter/10.1007/978-3-540-76928-6_86,Chapter,Springer
A Method of Unknown Words Processing for Neural Machine Translation Using HowNet,10.1007/978-981-10-7134-8_3,2017,http://link.springer.com/chapter/10.1007/978-981-10-7134-8_3,Chapter,Springer
Exploring the Advantages of Corpus in Neural Machine Translation of Agglutinative Language,10.1007/978-3-030-30490-4_27,2019,http://link.springer.com/chapter/10.1007/978-3-030-30490-4_27,Chapter,Springer
K-Translate - Interactive Multi-system Machine Translation,10.1007/978-3-319-40180-5_21,2016,http://link.springer.com/chapter/10.1007/978-3-319-40180-5_21,Chapter,Springer
Research for Uyghur-Chinese Neural Machine Translation,10.1007/978-3-319-50496-4_12,2016,http://link.springer.com/chapter/10.1007/978-3-319-50496-4_12,Chapter,Springer
Participles in English to Sanskrit Machine Translation,10.1007/978-3-642-19403-0_35,2011,http://link.springer.com/chapter/10.1007/978-3-642-19403-0_35,Chapter,Springer
Optimized Uyghur Segmentation for Statistical Machine Translation,10.1007/978-3-319-19581-0_36,2015,http://link.springer.com/chapter/10.1007/978-3-319-19581-0_36,Chapter,Springer
Machine Translation Method Based on Non-compositional Semantics (Word-Level Sentence-Pattern-Based MT),10.1007/978-981-10-0515-2_16,2016,http://link.springer.com/chapter/10.1007/978-981-10-0515-2_16,Chapter,Springer
Combined Technology of Lexical Selection in Rule-Based Machine Translation,10.1007/978-3-319-67077-5_47,2017,http://link.springer.com/chapter/10.1007/978-3-319-67077-5_47,Chapter,Springer
Improved Quality Estimation of Machine Translation with Pre-trained Language Representation,10.1007/978-3-030-32233-5_32,2019,http://link.springer.com/chapter/10.1007/978-3-030-32233-5_32,Chapter,Springer
Neural Machine Translation Based on Back-Translation for Multilingual Translation Evaluation Task,10.1007/978-981-33-6162-1_13,2020,http://link.springer.com/chapter/10.1007/978-981-33-6162-1_13,Chapter,Springer
Early Machine Translation,10.1007/978-3-319-08019-2_28,2014,http://link.springer.com/chapter/10.1007/978-3-319-08019-2_28,Chapter,Springer
Phrase-Based Statistical Machine Translation by Using Reordering Search and Additional Features,10.1007/978-3-540-37275-2_62,2006,http://link.springer.com/chapter/10.1007/978-3-540-37275-2_62,Chapter,Springer
Natural Language Ontology of Action: A Gap with Huge Consequences for Natural Language Understanding and Machine Translation,10.1007/978-3-319-08958-4_31,2014,http://link.springer.com/chapter/10.1007/978-3-319-08958-4_31,Chapter,Springer
Towards a Framework for Knowledge-based Machine Translation,10.1007/978-3-642-75100-4_29,1989,http://link.springer.com/chapter/10.1007/978-3-642-75100-4_29,Chapter,Springer
Essential requirements for a large-scale operational machine-translation system,10.1007/BF00936466,1986,http://link.springer.com/article/10.1007/BF00936466,Article,Springer
The background to practical machine translation,10.1007/BF00936470,1986,http://link.springer.com/article/10.1007/BF00936470,Article,Springer
Making Language Model as Small as Possible in Statistical Machine Translation,10.1007/978-3-662-45701-6_1,2014,http://link.springer.com/chapter/10.1007/978-3-662-45701-6_1,Chapter,Springer
Aligning Turkish and English Parallel Texts for Statistical Machine Translation,10.1007/11569596_64,2005,http://link.springer.com/chapter/10.1007/11569596_64,Chapter,Springer
SINAI at CLEF 2004: Using Machine Translation Resources with a Mixed 2-Step RSV Merging Algorithm,10.1007/11519645_16,2005,http://link.springer.com/chapter/10.1007/11519645_16,Chapter,Springer
BBN’s low-resource machine translation for the LoReHLT 2016 evaluation,10.1007/s10590-017-9206-2,2018,http://link.springer.com/article/10.1007/s10590-017-9206-2,Article,Springer
Coarse-to-Fine Machine Translation Decoding,10.1007/978-3-642-22743-1_5,2012,http://link.springer.com/chapter/10.1007/978-3-642-22743-1_5,Chapter,Springer
Significance tests of automatic machine translation evaluation metrics,10.1007/s10590-010-9073-6,2010,http://link.springer.com/article/10.1007/s10590-010-9073-6,Article,Springer
Automatic Long Sentence Segmentation for Neural Machine Translation,10.1007/978-3-319-50496-4_14,2016,http://link.springer.com/chapter/10.1007/978-3-319-50496-4_14,Chapter,Springer
Phrase-Based Statistical Machine Translation: A Level of Detail Approach,10.1007/11562214_51,2005,http://link.springer.com/chapter/10.1007/11562214_51,Chapter,Springer
Training with Additional Semantic Constraints for Enhancing Neural Machine Translation,10.1007/978-3-030-29908-8_24,2019,http://link.springer.com/chapter/10.1007/978-3-030-29908-8_24,Chapter,Springer
Handling Translation Divergences: Combining Statistical and Symbolic Techniques in Generation-Heavy Machine Translation,10.1007/3-540-45820-4_9,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_9,Chapter,Springer
Neural Machine Translation with Bilingual History Involved Attention,10.1007/978-3-030-32236-6_23,2019,http://link.springer.com/chapter/10.1007/978-3-030-32236-6_23,Chapter,Springer
Pinyin as a Feature of Neural Machine Translation for Chinese Speech Recognition Error Correction,10.1007/978-3-030-32381-3_52,2019,http://link.springer.com/chapter/10.1007/978-3-030-32381-3_52,Chapter,Springer
Parallel Machine Translation for gLite Based Grid Infrastructures,10.1007/978-3-642-19325-5_14,2011,http://link.springer.com/chapter/10.1007/978-3-642-19325-5_14,Chapter,Springer
MSR-MT: The Microsoft Research Machine Translation System,10.1007/3-540-45820-4_27,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_27,Chapter,Springer
Gated Self-attentive Encoder for Neural Machine Translation,10.1007/978-3-030-29551-6_58,2019,http://link.springer.com/chapter/10.1007/978-3-030-29551-6_58,Chapter,Springer
Integrating Multi-source Bilingual Information for Chinese Word Segmentation in Statistical Machine Translation,10.1007/978-3-642-41491-6_7,2013,http://link.springer.com/chapter/10.1007/978-3-642-41491-6_7,Chapter,Springer
Effectiveness for Machine Translation Method Using Inductive Learning on Number Representation,10.1007/3-540-36187-1_57,2002,http://link.springer.com/chapter/10.1007/3-540-36187-1_57,Chapter,Springer
Improving Context-Aware Neural Machine Translation with Target-Side Context,10.1007/978-981-15-6168-9_10,2020,http://link.springer.com/chapter/10.1007/978-981-15-6168-9_10,Chapter,Springer
A Hybrid Approach to the Development of Bidirectional English-Oromiffa Machine Translation,10.1007/978-3-319-10888-9_24,2014,http://link.springer.com/chapter/10.1007/978-3-319-10888-9_24,Chapter,Springer
Learning from User Feedback for Machine Translation in Real-Time,10.1007/978-3-319-50496-4_53,2016,http://link.springer.com/chapter/10.1007/978-3-319-50496-4_53,Chapter,Springer
Editors’ foreword to the special issue on human factors in neural machine translation,10.1007/s10590-019-09231-y,2019,http://link.springer.com/article/10.1007/s10590-019-09231-y,Article,Springer
Finding Better Subword Segmentation for Neural Machine Translation,10.1007/978-3-030-01716-3_5,2018,http://link.springer.com/chapter/10.1007/978-3-030-01716-3_5,Chapter,Springer
The Solution of the Problem of Unknown Words Under Neural Machine Translation of the Kazakh Language,10.1007/978-981-15-3380-8_28,2020,http://link.springer.com/chapter/10.1007/978-981-15-3380-8_28,Chapter,Springer
Morphology to the Rescue Redux: Resolving Borrowings and Code-Mixing in Machine Translation,10.1007/978-3-642-23138-4_6,2011,http://link.springer.com/chapter/10.1007/978-3-642-23138-4_6,Chapter,Springer
Grammatical Inference for Syntax-Based Statistical Machine Translation,10.1007/11872436_35,2006,http://link.springer.com/chapter/10.1007/11872436_35,Chapter,Springer
An Example-Based Machine Translation System Using DP-Matching Between Word Sequences,10.1007/978-94-010-0181-6_6,2003,http://link.springer.com/chapter/10.1007/978-94-010-0181-6_6,Chapter,Springer
Recent Research in the Field of Example-Based Machine Translation,10.1007/3-540-44686-9_20,2001,http://link.springer.com/chapter/10.1007/3-540-44686-9_20,Chapter,Springer
Transfer Learning for Chinese-Lao Neural Machine Translation with Linguistic Similarity,10.1007/978-981-33-6162-1_1,2020,http://link.springer.com/chapter/10.1007/978-981-33-6162-1_1,Chapter,Springer
Effective Hypotheses Re-ranking Model in Statistical Machine Translation,10.1007/978-3-662-45701-6_3,2014,http://link.springer.com/chapter/10.1007/978-3-662-45701-6_3,Chapter,Springer
Agreement-Based Joint Training for Bidirectional Attention-Based Neural Machine Translation,10.1007/978-981-32-9748-7_2,2019,http://link.springer.com/chapter/10.1007/978-981-32-9748-7_2,Chapter,Springer
Analysis of Temporal Adverbial Phrases for Portuguese–Chinese Machine Translation,10.1007/978-3-319-41552-9_6,2016,http://link.springer.com/chapter/10.1007/978-3-319-41552-9_6,Chapter,Springer
"Review of Cyril Goutte, Nicola Cancedda, Marc Dymetman, and George Foster (eds): Learning machine translation",10.1007/s10590-010-9069-2,2009,http://link.springer.com/article/10.1007/s10590-010-9069-2,Article,Springer
Cross-View Action Recognition Based on Statistical Machine Translation,10.1007/978-3-642-35136-5_32,2012,http://link.springer.com/chapter/10.1007/978-3-642-35136-5_32,Chapter,Springer
Mining Parallel Resources for Machine Translation from Comparable Corpora,10.1007/978-3-319-18111-0_40,2015,http://link.springer.com/chapter/10.1007/978-3-319-18111-0_40,Chapter,Springer
Semi-automatic Quasi-morphological Word Segmentation for Neural Machine Translation,10.1007/978-3-319-97571-9_23,2018,http://link.springer.com/chapter/10.1007/978-3-319-97571-9_23,Chapter,Springer
Non-autoregressive Neural Machine Translation with Distortion Model,10.1007/978-3-030-60450-9_32,2020,http://link.springer.com/chapter/10.1007/978-3-030-60450-9_32,Chapter,Springer
AL-TERp: Extended Metric for Machine Translation Evaluation of Arabic,10.1007/978-3-319-59569-6_17,2017,http://link.springer.com/chapter/10.1007/978-3-319-59569-6_17,Chapter,Springer
Statistical Machine Translation of Subtitles: From OpenSubtitles to TED,10.1007/978-3-642-40722-2_14,2013,http://link.springer.com/chapter/10.1007/978-3-642-40722-2_14,Chapter,Springer
Fast-Syntax-Matching-Based Japanese-Chinese Limited Machine Translation,10.1007/978-3-319-50496-4_55,2016,http://link.springer.com/chapter/10.1007/978-3-319-50496-4_55,Chapter,Springer
Lexical Ambiguity Resolution for Turkish in Direct Transfer Machine Translation Models,10.1007/11902140_26,2006,http://link.springer.com/chapter/10.1007/11902140_26,Chapter,Springer
"Christa Hauenschild and Susanne Heizmann (eds), Machine Translation and Translation Theory",10.1023/A:1011652711006,2000,http://link.springer.com/article/10.1023/A%3A1011652711006,Article,Springer
Unsupervised Machine Translation Quality Estimation in Black-Box Setting,10.1007/978-981-33-6162-1_3,2020,http://link.springer.com/chapter/10.1007/978-981-33-6162-1_3,Chapter,Springer
Handling Structural Divergences and Recovering Dropped Arguments in a Korean/English Machine Translation System,10.1007/3-540-39965-8_5,2000,http://link.springer.com/chapter/10.1007/3-540-39965-8_5,Chapter,Springer
Paragraph-Level Hierarchical Neural Machine Translation,10.1007/978-3-030-36718-3_28,2019,http://link.springer.com/chapter/10.1007/978-3-030-36718-3_28,Chapter,Springer
GRADE: A software environment for machine translation,10.1007/BF02057968,1988,http://link.springer.com/article/10.1007/BF02057968,Article,Springer
Dynamic Fusion: Attentional Language Model for Neural Machine Translation,10.1007/978-981-15-6168-9_9,2020,http://link.springer.com/chapter/10.1007/978-981-15-6168-9_9,Chapter,Springer
Learning Word Alignment Models for Kazakh-English Machine Translation,10.1007/978-3-319-25135-6_31,2015,http://link.springer.com/chapter/10.1007/978-3-319-25135-6_31,Chapter,Springer
Statistical Machine Translation Decoding Using Target Word Reordering,10.1007/978-3-540-27868-9_80,2004,http://link.springer.com/chapter/10.1007/978-3-540-27868-9_80,Chapter,Springer
Textual Entailment Using Machine Translation Evaluation Metrics,10.1007/978-3-319-77113-7_25,2018,http://link.springer.com/chapter/10.1007/978-3-319-77113-7_25,Chapter,Springer
The Use of Machine Translation System for Component Development of Adaptive Computer System for Individual Testing of Students’ Knowledge,10.1007/978-3-030-37858-5_40,2019,http://link.springer.com/chapter/10.1007/978-3-030-37858-5_40,Chapter,Springer
Combining Machine Translated Sentence Chunks from Multiple MT Systems,10.1007/978-3-319-75487-1_3,2018,http://link.springer.com/chapter/10.1007/978-3-319-75487-1_3,Chapter,Springer
Topic Model Based Adaptation Data Selection for Domain-Specific Machine Translation,10.1007/978-981-10-2993-6_14,2016,http://link.springer.com/chapter/10.1007/978-981-10-2993-6_14,Chapter,Springer
Improving Unsupervised Neural Machine Translation with Dependency Relationships,10.1007/978-3-030-60450-9_34,2020,http://link.springer.com/chapter/10.1007/978-3-030-60450-9_34,Chapter,Springer
A Study on Multilingual Transfer Learning in Neural Machine Translation: Finding the Balance Between Languages,10.1007/978-3-030-31372-2_5,2019,http://link.springer.com/chapter/10.1007/978-3-030-31372-2_5,Chapter,Springer
Online Learning of Log-Linear Weights in Interactive Machine Translation,10.1007/978-3-642-35292-8_29,2012,http://link.springer.com/chapter/10.1007/978-3-642-35292-8_29,Chapter,Springer
Evaluating Embedded Machine Translation in Military Field Exercises,10.1007/3-540-39965-8_27,2000,http://link.springer.com/chapter/10.1007/3-540-39965-8_27,Chapter,Springer
Improving Reordering Models with Phrase Number Feature for Statistical Machine Translation,10.1007/978-3-319-10849-0_23,2014,http://link.springer.com/chapter/10.1007/978-3-319-10849-0_23,Chapter,Springer
Study on the Importance of Cultural Context Analysis in Machine Translation,10.1007/978-3-642-37502-6_4,2013,http://link.springer.com/chapter/10.1007/978-3-642-37502-6_4,Chapter,Springer
Review article: Project for integrated development of English-Spanish machine translation,10.1007/BF01540133,1987,http://link.springer.com/article/10.1007/BF01540133,Article,Springer
Translation of Quantifiers in Japanese-Chinese Machine Translation,10.1007/978-3-642-33983-7_2,2012,http://link.springer.com/chapter/10.1007/978-3-642-33983-7_2,Chapter,Springer
Research on Chinese-Tibetan Neural Machine Translation,10.1007/978-3-030-01716-3_9,2018,http://link.springer.com/chapter/10.1007/978-3-030-01716-3_9,Chapter,Springer
Text Genre –  An Unexplored Parameter in Statistical Machine Translation,10.1007/978-3-319-08958-4_37,2014,http://link.springer.com/chapter/10.1007/978-3-319-08958-4_37,Chapter,Springer
